"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2014"	"2014/01"	"< 1 year"	"0"	1922	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"1 year"	"1"	159	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"2 years"	"2"	94	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"3 years"	"3"	57	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"4 years"	"4"	62	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"5 years"	"5"	39	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"6 years"	"6"	50	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"7 years"	"7"	47	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"8 years"	"8"	46	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"9 years"	"9"	44	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"10 years"	"10"	32	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"11 years"	"11"	40	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"12 years"	"12"	51	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"13 years"	"13"	48	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"14 years"	"14"	60	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"15 years"	"15"	95	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"16 years"	"16"	123	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"17 years"	"17"	124	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"18 years"	"18"	196	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"19 years"	"19"	258	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"20 years"	"20"	259	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"21 years"	"21"	301	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"22 years"	"22"	319	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"23 years"	"23"	342	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"24 years"	"24"	329	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"25 years"	"25"	321	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"26 years"	"26"	332	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"27 years"	"27"	357	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	"28 years"	"28"	393	Not Applicable	Not Applicable
