"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	56679	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	67028	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	64141	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	62221	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	60444	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	60631	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	59270	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	57306	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	56218	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	56578	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	55841	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	55254	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	54440	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	54829	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	54776	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	53516	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	53260	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	53248	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	51567	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	50160	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	50458	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	50545	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	51533	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	50913	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	50545	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	50394	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	51156	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	50685	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	50117	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	49772	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	50180	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	50500	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	49820	Not Applicable	Not Applicable
