"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	644	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	556	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	637	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	518	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	542	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	518	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	496	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	510	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	523	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	538	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	529	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	659	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	687	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	611	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	545	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	547	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	531	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	498	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	549	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	524	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	530	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	548	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	551	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	593	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	610	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	524	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	602	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	547	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	539	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	536	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2001"	"2001/07"	518	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2001"	"2001/08"	511	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2001"	"2001/09"	513	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2001"	"2001/10"	577	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2001"	"2001/11"	590	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2001"	"2001/12"	595	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2002"	"2002/01"	604	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2002"	"2002/02"	526	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2002"	"2002/03"	572	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2002"	"2002/04"	548	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2002"	"2002/05"	544	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2002"	"2002/06"	537	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2002"	"2002/07"	531	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2002"	"2002/08"	493	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2002"	"2002/09"	470	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2002"	"2002/10"	558	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2002"	"2002/11"	565	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2002"	"2002/12"	574	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2003"	"2003/01"	586	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2003"	"2003/02"	559	Not Applicable	Not Applicable
