"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",465119,37418544,1243.0
,"2019","2019",470896,38026147,1238.3
,"2020","2020",563709,38674245,1457.6
,"2021","2021",611547,39630070,1543.1
"Total",,,2111271,153749006,1373.2
