"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"1999","1999","Jan., 1999","1999/01",1413,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02",1292,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03",1417,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04",1386,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05",1589,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06",1628,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07",1737,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08",1707,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09",1490,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10",1478,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11",1390,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12",1372,Not Applicable,Not Applicable
"Total","1999","1999",,,17899,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01",1502,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02",1185,Not Applicable,Not Applicable
,"2000","2000","Mar., 2000","2000/03",1397,Not Applicable,Not Applicable
,"2000","2000","Apr., 2000","2000/04",1405,Not Applicable,Not Applicable
,"2000","2000","May, 2000","2000/05",1508,Not Applicable,Not Applicable
,"2000","2000","Jun., 2000","2000/06",1623,Not Applicable,Not Applicable
,"2000","2000","Jul., 2000","2000/07",1776,Not Applicable,Not Applicable
,"2000","2000","Aug., 2000","2000/08",1599,Not Applicable,Not Applicable
,"2000","2000","Sep., 2000","2000/09",1490,Not Applicable,Not Applicable
,"2000","2000","Oct., 2000","2000/10",1514,Not Applicable,Not Applicable
,"2000","2000","Nov., 2000","2000/11",1362,Not Applicable,Not Applicable
,"2000","2000","Dec., 2000","2000/12",1362,Not Applicable,Not Applicable
"Total","2000","2000",,,17723,Not Applicable,Not Applicable
,"2001","2001","Jan., 2001","2001/01",1379,Not Applicable,Not Applicable
,"2001","2001","Feb., 2001","2001/02",1285,Not Applicable,Not Applicable
,"2001","2001","Mar., 2001","2001/03",1383,Not Applicable,Not Applicable
,"2001","2001","Apr., 2001","2001/04",1487,Not Applicable,Not Applicable
,"2001","2001","May, 2001","2001/05",1519,Not Applicable,Not Applicable
,"2001","2001","Jun., 2001","2001/06",1511,Not Applicable,Not Applicable
,"2001","2001","Jul., 2001","2001/07",1658,Not Applicable,Not Applicable
,"2001","2001","Aug., 2001","2001/08",1623,Not Applicable,Not Applicable
,"2001","2001","Sep., 2001","2001/09",1401,Not Applicable,Not Applicable
,"2001","2001","Oct., 2001","2001/10",1499,Not Applicable,Not Applicable
,"2001","2001","Nov., 2001","2001/11",1378,Not Applicable,Not Applicable
,"2001","2001","Dec., 2001","2001/12",1434,Not Applicable,Not Applicable
"Total","2001","2001",,,17557,Not Applicable,Not Applicable
,"2002","2002","Jan., 2002","2002/01",1408,Not Applicable,Not Applicable
,"2002","2002","Feb., 2002","2002/02",1259,Not Applicable,Not Applicable
,"2002","2002","Mar., 2002","2002/03",1556,Not Applicable,Not Applicable
,"2002","2002","Apr., 2002","2002/04",1348,Not Applicable,Not Applicable
,"2002","2002","May, 2002","2002/05",1591,Not Applicable,Not Applicable
,"2002","2002","Jun., 2002","2002/06",1617,Not Applicable,Not Applicable
,"2002","2002","Jul., 2002","2002/07",1736,Not Applicable,Not Applicable
,"2002","2002","Aug., 2002","2002/08",1651,Not Applicable,Not Applicable
,"2002","2002","Sep., 2002","2002/09",1501,Not Applicable,Not Applicable
,"2002","2002","Oct., 2002","2002/10",1478,Not Applicable,Not Applicable
,"2002","2002","Nov., 2002","2002/11",1381,Not Applicable,Not Applicable
,"2002","2002","Dec., 2002","2002/12",1418,Not Applicable,Not Applicable
"Total","2002","2002",,,17944,Not Applicable,Not Applicable
,"2003","2003","Jan., 2003","2003/01",1321,Not Applicable,Not Applicable
,"2003","2003","Feb., 2003","2003/02",1219,Not Applicable,Not Applicable
,"2003","2003","Mar., 2003","2003/03",1356,Not Applicable,Not Applicable
,"2003","2003","Apr., 2003","2003/04",1438,Not Applicable,Not Applicable
,"2003","2003","May, 2003","2003/05",1500,Not Applicable,Not Applicable
,"2003","2003","Jun., 2003","2003/06",1559,Not Applicable,Not Applicable
,"2003","2003","Jul., 2003","2003/07",1679,Not Applicable,Not Applicable
,"2003","2003","Aug., 2003","2003/08",1632,Not Applicable,Not Applicable
,"2003","2003","Sep., 2003","2003/09",1400,Not Applicable,Not Applicable
,"2003","2003","Oct., 2003","2003/10",1495,Not Applicable,Not Applicable
,"2003","2003","Nov., 2003","2003/11",1518,Not Applicable,Not Applicable
,"2003","2003","Dec., 2003","2003/12",1534,Not Applicable,Not Applicable
"Total","2003","2003",,,17651,Not Applicable,Not Applicable
,"2004","2004","Jan., 2004","2004/01",1492,Not Applicable,Not Applicable
,"2004","2004","Feb., 2004","2004/02",1332,Not Applicable,Not Applicable
,"2004","2004","Mar., 2004","2004/03",1367,Not Applicable,Not Applicable
,"2004","2004","Apr., 2004","2004/04",1380,Not Applicable,Not Applicable
,"2004","2004","May, 2004","2004/05",1601,Not Applicable,Not Applicable
,"2004","2004","Jun., 2004","2004/06",1549,Not Applicable,Not Applicable
,"2004","2004","Jul., 2004","2004/07",1625,Not Applicable,Not Applicable
,"2004","2004","Aug., 2004","2004/08",1589,Not Applicable,Not Applicable
,"2004","2004","Sep., 2004","2004/09",1445,Not Applicable,Not Applicable
,"2004","2004","Oct., 2004","2004/10",1482,Not Applicable,Not Applicable
,"2004","2004","Nov., 2004","2004/11",1352,Not Applicable,Not Applicable
,"2004","2004","Dec., 2004","2004/12",1438,Not Applicable,Not Applicable
"Total","2004","2004",,,17652,Not Applicable,Not Applicable
,"2005","2005","Jan., 2005","2005/01",1296,Not Applicable,Not Applicable
,"2005","2005","Feb., 2005","2005/02",1269,Not Applicable,Not Applicable
,"2005","2005","Mar., 2005","2005/03",1467,Not Applicable,Not Applicable
,"2005","2005","Apr., 2005","2005/04",1491,Not Applicable,Not Applicable
,"2005","2005","May, 2005","2005/05",1497,Not Applicable,Not Applicable
,"2005","2005","Jun., 2005","2005/06",1595,Not Applicable,Not Applicable
,"2005","2005","Jul., 2005","2005/07",1687,Not Applicable,Not Applicable
,"2005","2005","Aug., 2005","2005/08",1584,Not Applicable,Not Applicable
,"2005","2005","Sep., 2005","2005/09",1407,Not Applicable,Not Applicable
,"2005","2005","Oct., 2005","2005/10",1434,Not Applicable,Not Applicable
,"2005","2005","Nov., 2005","2005/11",1366,Not Applicable,Not Applicable
,"2005","2005","Dec., 2005","2005/12",1375,Not Applicable,Not Applicable
"Total","2005","2005",,,17468,Not Applicable,Not Applicable
,"2006","2006","Jan., 2006","2006/01",1376,Not Applicable,Not Applicable
,"2006","2006","Feb., 2006","2006/02",1227,Not Applicable,Not Applicable
,"2006","2006","Mar., 2006","2006/03",1386,Not Applicable,Not Applicable
,"2006","2006","Apr., 2006","2006/04",1449,Not Applicable,Not Applicable
,"2006","2006","May, 2006","2006/05",1565,Not Applicable,Not Applicable
,"2006","2006","Jun., 2006","2006/06",1549,Not Applicable,Not Applicable
,"2006","2006","Jul., 2006","2006/07",1585,Not Applicable,Not Applicable
,"2006","2006","Aug., 2006","2006/08",1436,Not Applicable,Not Applicable
,"2006","2006","Sep., 2006","2006/09",1368,Not Applicable,Not Applicable
,"2006","2006","Oct., 2006","2006/10",1454,Not Applicable,Not Applicable
,"2006","2006","Nov., 2006","2006/11",1374,Not Applicable,Not Applicable
,"2006","2006","Dec., 2006","2006/12",1384,Not Applicable,Not Applicable
"Total","2006","2006",,,17153,Not Applicable,Not Applicable
,"2007","2007","Jan., 2007","2007/01",1372,Not Applicable,Not Applicable
,"2007","2007","Feb., 2007","2007/02",1213,Not Applicable,Not Applicable
,"2007","2007","Mar., 2007","2007/03",1436,Not Applicable,Not Applicable
,"2007","2007","Apr., 2007","2007/04",1402,Not Applicable,Not Applicable
,"2007","2007","May, 2007","2007/05",1438,Not Applicable,Not Applicable
,"2007","2007","Jun., 2007","2007/06",1533,Not Applicable,Not Applicable
,"2007","2007","Jul., 2007","2007/07",1559,Not Applicable,Not Applicable
,"2007","2007","Aug., 2007","2007/08",1540,Not Applicable,Not Applicable
,"2007","2007","Sep., 2007","2007/09",1352,Not Applicable,Not Applicable
,"2007","2007","Oct., 2007","2007/10",1290,Not Applicable,Not Applicable
,"2007","2007","Nov., 2007","2007/11",1295,Not Applicable,Not Applicable
,"2007","2007","Dec., 2007","2007/12",1305,Not Applicable,Not Applicable
"Total","2007","2007",,,16735,Not Applicable,Not Applicable
,"2008","2008","Jan., 2008","2008/01",1282,Not Applicable,Not Applicable
,"2008","2008","Feb., 2008","2008/02",1163,Not Applicable,Not Applicable
,"2008","2008","Mar., 2008","2008/03",1315,Not Applicable,Not Applicable
,"2008","2008","Apr., 2008","2008/04",1313,Not Applicable,Not Applicable
,"2008","2008","May, 2008","2008/05",1320,Not Applicable,Not Applicable
,"2008","2008","Jun., 2008","2008/06",1327,Not Applicable,Not Applicable
,"2008","2008","Jul., 2008","2008/07",1392,Not Applicable,Not Applicable
,"2008","2008","Aug., 2008","2008/08",1363,Not Applicable,Not Applicable
,"2008","2008","Sep., 2008","2008/09",1244,Not Applicable,Not Applicable
,"2008","2008","Oct., 2008","2008/10",1274,Not Applicable,Not Applicable
,"2008","2008","Nov., 2008","2008/11",1284,Not Applicable,Not Applicable
,"2008","2008","Dec., 2008","2008/12",1279,Not Applicable,Not Applicable
"Total","2008","2008",,,15556,Not Applicable,Not Applicable
,"2009","2009","Jan., 2009","2009/01",1201,Not Applicable,Not Applicable
,"2009","2009","Feb., 2009","2009/02",1039,Not Applicable,Not Applicable
,"2009","2009","Mar., 2009","2009/03",1181,Not Applicable,Not Applicable
,"2009","2009","Apr., 2009","2009/04",1239,Not Applicable,Not Applicable
,"2009","2009","May, 2009","2009/05",1324,Not Applicable,Not Applicable
,"2009","2009","Jun., 2009","2009/06",1313,Not Applicable,Not Applicable
,"2009","2009","Jul., 2009","2009/07",1360,Not Applicable,Not Applicable
,"2009","2009","Aug., 2009","2009/08",1298,Not Applicable,Not Applicable
,"2009","2009","Sep., 2009","2009/09",1161,Not Applicable,Not Applicable
,"2009","2009","Oct., 2009","2009/10",1245,Not Applicable,Not Applicable
,"2009","2009","Nov., 2009","2009/11",1178,Not Applicable,Not Applicable
,"2009","2009","Dec., 2009","2009/12",1109,Not Applicable,Not Applicable
"Total","2009","2009",,,14648,Not Applicable,Not Applicable
