"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",495164,Not Applicable,Not Applicable
,"2019","2019",494830,Not Applicable,Not Applicable
,"2020","2020",573554,Not Applicable,Not Applicable
,"2021","2021",525880,Not Applicable,Not Applicable
"Total",,,2089428,Not Applicable,Not Applicable
