"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",1233740,12671811,9736.1
,"2019","2019",1232280,12922165,9536.2
,"2020","2020",1436698,13123134,10947.8
,"2021","2021",1361566,12277062,11090.3
"Total",,,5264284,50994172,10323.3
