"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",175095,Not Applicable,Not Applicable
,"2019","2019",177347,Not Applicable,Not Applicable
,"2020","2020",207868,Not Applicable,Not Applicable
,"2021","2021",188955,Not Applicable,Not Applicable
"Total",,,749265,Not Applicable,Not Applicable
