"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"Alabama"	"01"	357	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Alaska"	"02"	34	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arizona"	"04"	302	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Arkansas"	"05"	216	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"California"	"06"	1703	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Colorado"	"08"	170	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Connecticut"	"09"	205	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Delaware"	"10"	43	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"District of Columbia"	"11"	59	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Florida"	"12"	1040	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Georgia"	"13"	541	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Hawaii"	"15"	51	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Idaho"	"16"	46	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Illinois"	"17"	800	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Indiana"	"18"	402	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Iowa"	"19"	145	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kansas"	"20"	123	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Kentucky"	"21"	279	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Louisiana"	"22"	355	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maine"	"23"	87	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Maryland"	"24"	311	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Massachusetts"	"25"	374	Not Applicable	Not Applicable
