"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",407562,9904769,4114.8
,"2023 (provisional and partial)","2023",303461,9904769,3063.8
"Total",,,711023,19809538,3589.3
