"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",362375,15271802,2372.8
,"2023 (provisional and partial)","2023",263686,15271802,1726.6
"Total",,,626061,30543604,2049.7
