"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",249190,21235750,1173.4
,"2023 (provisional and partial)","2023",177400,21235750,835.4
"Total",,,426590,42471500,1004.4
