"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",60,307465,19.5
,"2022 (provisional)","2022","Alaska","02",12,51285,Unreliable
,"2022 (provisional)","2022","Arizona","04",52,445488,11.7
,"2022 (provisional)","2022","Arkansas","05",38,193097,19.7
,"2022 (provisional)","2022","California","06",226,2431665,9.3
,"2022 (provisional)","2022","Colorado","08",43,339865,12.7
,"2022 (provisional)","2022","Connecticut","09",25,195153,12.8
,"2022 (provisional)","2022","Delaware","10",Suppressed,57292,Suppressed
,"2022 (provisional)","2022","District of Columbia","11",Suppressed,37809,Suppressed
,"2022 (provisional)","2022","Florida","12",146,1181269,12.4
,"2022 (provisional)","2022","Georgia","13",98,687507,14.3
,"2022 (provisional)","2022","Hawaii","15",Suppressed,88935,Suppressed
,"2022 (provisional)","2022","Idaho","16",12,129429,Unreliable
,"2022 (provisional)","2022","Illinois","17",87,765597,11.4
,"2022 (provisional)","2022","Indiana","18",64,437113,14.6
,"2022 (provisional)","2022","Iowa","19",28,202779,13.8
,"2022 (provisional)","2022","Kansas","20",27,194595,13.9
,"2022 (provisional)","2022","Kentucky","21",40,279964,14.3
,"2022 (provisional)","2022","Louisiana","22",42,301326,13.9
,"2022 (provisional)","2022","Maine","23",Suppressed,68152,Suppressed
,"2022 (provisional)","2022","Maryland","24",43,375916,11.4
,"2022 (provisional)","2022","Massachusetts","25",36,370123,9.7
,"2022 (provisional)","2022","Michigan","26",79,590004,13.4
,"2022 (provisional)","2022","Minnesota","27",48,366552,13.1
,"2022 (provisional)","2022","Mississippi","28",37,185447,20.0
,"2022 (provisional)","2022","Missouri","29",56,379721,14.7
,"2022 (provisional)","2022","Montana","30",13,66204,Unreliable
,"2022 (provisional)","2022","Nebraska","31",17,134800,Unreliable
,"2022 (provisional)","2022","Nevada","32",27,193363,14.0
,"2022 (provisional)","2022","New Hampshire","33",Suppressed,69102,Suppressed
,"2022 (provisional)","2022","New Jersey","34",33,552745,6.0
,"2022 (provisional)","2022","New Mexico","35",11,129577,Unreliable
,"2022 (provisional)","2022","New York","36",126,1139585,11.1
,"2022 (provisional)","2022","North Carolina","37",97,626224,15.5
,"2022 (provisional)","2022","North Dakota","38",11,53299,Unreliable
,"2022 (provisional)","2022","Ohio","39",97,718318,13.5
,"2022 (provisional)","2022","Oklahoma","40",51,269611,18.9
,"2022 (provisional)","2022","Oregon","41",26,239614,10.9
,"2022 (provisional)","2022","Pennsylvania","42",96,734804,13.1
