"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",101247,Not Applicable,Not Applicable
,"2000","2000",103075,Not Applicable,Not Applicable
,"2001","2001",104442,Not Applicable,Not Applicable
,"2002","2002",107104,Not Applicable,Not Applicable
,"2003","2003",109602,Not Applicable,Not Applicable
,"2004","2004",105972,Not Applicable,Not Applicable
,"2005","2005",112065,Not Applicable,Not Applicable
,"2006","2006",111518,Not Applicable,Not Applicable
,"2007","2007",114243,Not Applicable,Not Applicable
,"2008","2008",120758,Not Applicable,Not Applicable
,"2009","2009",118512,Not Applicable,Not Applicable
,"2010","2010",126513,Not Applicable,Not Applicable
,"2011","2011",132420,Not Applicable,Not Applicable
,"2012","2012",136772,Not Applicable,Not Applicable
,"2013","2013",141753,Not Applicable,Not Applicable
,"2014","2014",144321,Not Applicable,Not Applicable
,"2015","2015",155158,Not Applicable,Not Applicable
,"2016","2016",159212,Not Applicable,Not Applicable
,"2017","2017",170471,Not Applicable,Not Applicable
,"2018","2018",175095,Not Applicable,Not Applicable
,"2019","2019",177347,Not Applicable,Not Applicable
,"2020 ","2020",207868,Not Applicable,Not Applicable
"Total",,,2935468,Not Applicable,Not Applicable
