"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",1350501,12277062,11000.2
,"2023 (provisional and partial)","2023",1008951,12277062,8218.2
"Total",,,2359452,24554124,9609.2
