"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",10427,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",9335,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",10317,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",8123,Not Applicable,Not Applicable
,"May, 1999","1999/05",7681,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",7066,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",7317,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",7238,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",7354,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",8286,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",8135,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",9968,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",11768,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",9104,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",8663,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",7916,Not Applicable,Not Applicable
,"May, 2000","2000/05",7785,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",7365,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",7522,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",7598,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",8027,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",8600,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",8659,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",10068,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",10486,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",8859,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",9777,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",8845,Not Applicable,Not Applicable
,"May, 2001","2001/05",8462,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",8169,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",7819,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",7737,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",7752,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",8674,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",8554,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",9308,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",10395,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",9748,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",10354,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",8742,Not Applicable,Not Applicable
,"May, 2002","2002/05",8296,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",7725,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",7929,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",7835,Not Applicable,Not Applicable
,"Sep., 2002","2002/09",7923,Not Applicable,Not Applicable
,"Oct., 2002","2002/10",8792,Not Applicable,Not Applicable
,"Nov., 2002","2002/11",9125,Not Applicable,Not Applicable
,"Dec., 2002","2002/12",10240,Not Applicable,Not Applicable
,"Jan., 2003","2003/01",10803,Not Applicable,Not Applicable
,"Feb., 2003","2003/02",9395,Not Applicable,Not Applicable
,"Mar., 2003","2003/03",9672,Not Applicable,Not Applicable
,"Apr., 2003","2003/04",8859,Not Applicable,Not Applicable
,"May, 2003","2003/05",8333,Not Applicable,Not Applicable
,"Jun., 2003","2003/06",7997,Not Applicable,Not Applicable
,"Jul., 2003","2003/07",8155,Not Applicable,Not Applicable
,"Aug., 2003","2003/08",8193,Not Applicable,Not Applicable
,"Sep., 2003","2003/09",8050,Not Applicable,Not Applicable
,"Oct., 2003","2003/10",9012,Not Applicable,Not Applicable
,"Nov., 2003","2003/11",9235,Not Applicable,Not Applicable
,"Dec., 2003","2003/12",11898,Not Applicable,Not Applicable
,"Jan., 2004","2004/01",11789,Not Applicable,Not Applicable
,"Feb., 2004","2004/02",9396,Not Applicable,Not Applicable
,"Mar., 2004","2004/03",9343,Not Applicable,Not Applicable
,"Apr., 2004","2004/04",8460,Not Applicable,Not Applicable
,"May, 2004","2004/05",8147,Not Applicable,Not Applicable
,"Jun., 2004","2004/06",7885,Not Applicable,Not Applicable
,"Jul., 2004","2004/07",8047,Not Applicable,Not Applicable
,"Aug., 2004","2004/08",7973,Not Applicable,Not Applicable
,"Sep., 2004","2004/09",7762,Not Applicable,Not Applicable
,"Oct., 2004","2004/10",8797,Not Applicable,Not Applicable
,"Nov., 2004","2004/11",8648,Not Applicable,Not Applicable
