"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01",1066,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02",1168,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03",1196,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04",1278,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05",1219,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06",1177,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07",1164,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08",1147,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09",1150,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10",1166,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11",1161,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12",1194,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13",1108,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14",1110,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15",1140,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16",1156,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17",1127,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18",1209,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19",1278,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20",1171,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21",1176,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22",1219,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23",1176,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24",1218,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25",1209,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26",1141,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27",1286,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28",1195,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29",1189,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30",1238,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31",1136,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32",1204,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33",1086,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34",1145,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35",1173,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36",1182,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37",1166,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38",1208,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39",1179,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40",1175,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41",1187,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42",1173,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43",1165,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44",1165,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45",1168,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46",1123,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47",1108,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48",1059,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49",1064,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50",1125,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51",1060,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52",1094,Not Applicable,Not Applicable
,"2018 Week Not Available","2018/99",Suppressed,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01",1139,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02",1102,Not Applicable,Not Applicable
,"2019 Week 03 ending January 19, 2019","2019/03",1077,Not Applicable,Not Applicable
,"2019 Week 04 ending January 26, 2019","2019/04",1054,Not Applicable,Not Applicable
,"2019 Week 05 ending February 02, 2019","2019/05",1087,Not Applicable,Not Applicable
,"2019 Week 06 ending February 09, 2019","2019/06",1123,Not Applicable,Not Applicable
,"2019 Week 07 ending February 16, 2019","2019/07",1072,Not Applicable,Not Applicable
,"2019 Week 08 ending February 23, 2019","2019/08",1116,Not Applicable,Not Applicable
,"2019 Week 09 ending March 02, 2019","2019/09",1184,Not Applicable,Not Applicable
,"2019 Week 10 ending March 09, 2019","2019/10",1090,Not Applicable,Not Applicable
,"2019 Week 11 ending March 16, 2019","2019/11",1099,Not Applicable,Not Applicable
,"2019 Week 12 ending March 23, 2019","2019/12",1114,Not Applicable,Not Applicable
,"2019 Week 13 ending March 30, 2019","2019/13",1143,Not Applicable,Not Applicable
,"2019 Week 14 ending April 06, 2019","2019/14",1116,Not Applicable,Not Applicable
,"2019 Week 15 ending April 13, 2019","2019/15",1163,Not Applicable,Not Applicable
,"2019 Week 16 ending April 20, 2019","2019/16",1153,Not Applicable,Not Applicable
,"2019 Week 17 ending April 27, 2019","2019/17",1098,Not Applicable,Not Applicable
,"2019 Week 18 ending May 04, 2019","2019/18",1143,Not Applicable,Not Applicable
,"2019 Week 19 ending May 11, 2019","2019/19",1154,Not Applicable,Not Applicable
,"2019 Week 20 ending May 18, 2019","2019/20",1149,Not Applicable,Not Applicable
,"2019 Week 21 ending May 25, 2019","2019/21",1158,Not Applicable,Not Applicable
,"2019 Week 22 ending June 01, 2019","2019/22",1273,Not Applicable,Not Applicable
,"2019 Week 23 ending June 08, 2019","2019/23",1170,Not Applicable,Not Applicable
,"2019 Week 24 ending June 15, 2019","2019/24",1219,Not Applicable,Not Applicable
,"2019 Week 25 ending June 22, 2019","2019/25",1170,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26",1257,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27",1230,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28",1184,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29",1182,Not Applicable,Not Applicable
