"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Feb., 1999"	"1999/02"	"District of Columbia"	"11"	98	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Florida"	"12"	1435	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Georgia"	"13"	805	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Hawaii"	"15"	105	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Idaho"	"16"	80	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Illinois"	"17"	1112	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Indiana"	"18"	527	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Iowa"	"19"	182	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Kansas"	"20"	219	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Kentucky"	"21"	423	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Louisiana"	"22"	497	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Maine"	"23"	114	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Maryland"	"24"	529	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Massachusetts"	"25"	481	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Michigan"	"26"	969	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Minnesota"	"27"	333	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Mississippi"	"28"	359	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Missouri"	"29"	526	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Montana"	"30"	82	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nebraska"	"31"	121	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nevada"	"32"	192	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Hampshire"	"33"	95	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Jersey"	"34"	726	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Mexico"	"35"	166	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New York"	"36"	1693	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Carolina"	"37"	802	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"North Dakota"	"38"	45	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Ohio"	"39"	1047	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oklahoma"	"40"	372	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Oregon"	"41"	277	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Pennsylvania"	"42"	1161	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Rhode Island"	"44"	95	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Carolina"	"45"	474	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"South Dakota"	"46"	60	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Tennessee"	"47"	603	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Texas"	"48"	1699	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Utah"	"49"	121	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Vermont"	"50"	36	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Virginia"	"51"	636	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Washington"	"53"	447	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"West Virginia"	"54"	213	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Wisconsin"	"55"	388	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Wyoming"	"56"	42	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"			24848	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Alabama"	"01"	549	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Alaska"	"02"	49	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Arizona"	"04"	476	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Arkansas"	"05"	312	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"California"	"06"	2787	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Colorado"	"08"	320	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Connecticut"	"09"	316	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Delaware"	"10"	71	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"District of Columbia"	"11"	118	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Florida"	"12"	1710	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Georgia"	"13"	915	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Hawaii"	"15"	107	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Idaho"	"16"	83	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Illinois"	"17"	1236	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Indiana"	"18"	646	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Iowa"	"19"	227	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Kansas"	"20"	246	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Kentucky"	"21"	506	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Louisiana"	"22"	580	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Maine"	"23"	100	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Maryland"	"24"	532	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Massachusetts"	"25"	497	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Michigan"	"26"	1074	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Minnesota"	"27"	353	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Mississippi"	"28"	389	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Missouri"	"29"	529	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Montana"	"30"	87	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Nebraska"	"31"	114	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Nevada"	"32"	232	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Hampshire"	"33"	117	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Jersey"	"34"	797	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New Mexico"	"35"	160	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"New York"	"36"	1732	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"North Carolina"	"37"	889	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"North Dakota"	"38"	35	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Ohio"	"39"	1207	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Oklahoma"	"40"	424	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Oregon"	"41"	316	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Pennsylvania"	"42"	1220	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Rhode Island"	"44"	71	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"South Carolina"	"45"	551	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"South Dakota"	"46"	63	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Tennessee"	"47"	689	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Texas"	"48"	1854	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Utah"	"49"	127	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Vermont"	"50"	56	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Virginia"	"51"	721	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Washington"	"53"	424	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"West Virginia"	"54"	206	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Wisconsin"	"55"	411	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"Wyoming"	"56"	45	Not Applicable	Not Applicable
"Total"	"Mar., 1999"	"1999/03"			27276	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Alabama"	"01"	553	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	"Alaska"	"02"	52	Not Applicable	Not Applicable
