"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",260927,42825549,609.3
,"2019","2019",255107,42354542,602.3
,"2020","2020",297939,41998626,709.4
,"2021","2021",327501,42474240,771.1
"Total",,,1141474,169652957,672.8
