"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01",10599,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02",12570,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03",12088,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04",11495,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05",11544,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06",11470,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07",11329,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08",10971,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09",10749,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10",10887,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11",10708,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12",10355,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13",10363,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14",10620,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15",10490,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16",10474,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17",10354,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18",10270,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19",9977,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20",9809,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21",9664,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22",9931,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23",9954,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24",9928,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25",9813,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26",9967,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27",9969,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28",9800,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29",9648,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30",9751,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31",9781,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32",9702,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33",9784,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34",9848,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35",9870,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36",9656,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37",9860,Not Applicable,Not Applicable
,"2018 Week 38 ending September 22, 2018","2018/38",10040,Not Applicable,Not Applicable
,"2018 Week 39 ending September 29, 2018","2018/39",10066,Not Applicable,Not Applicable
,"2018 Week 40 ending October 06, 2018","2018/40",10179,Not Applicable,Not Applicable
,"2018 Week 41 ending October 13, 2018","2018/41",10055,Not Applicable,Not Applicable
,"2018 Week 42 ending October 20, 2018","2018/42",10256,Not Applicable,Not Applicable
,"2018 Week 43 ending October 27, 2018","2018/43",10323,Not Applicable,Not Applicable
,"2018 Week 44 ending November 03, 2018","2018/44",10250,Not Applicable,Not Applicable
,"2018 Week 45 ending November 10, 2018","2018/45",10277,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46",10549,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47",10560,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48",10777,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49",10788,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50",10717,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51",10857,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52",10870,Not Applicable,Not Applicable
,"2018 Week Not Available","2018/99",42,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01",11193,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02",11335,Not Applicable,Not Applicable
