"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"2001","2001","Alaska","02",446,31731,1405.6
,"2001","2001","Arizona","04",5437,404877,1342.9
,"2001","2001","Arkansas","05",3995,226491,1763.9
,"2001","2001","California","06",29474,2181554,1351.1
,"2001","2001","Colorado","08",3399,274942,1236.3
,"2001","2001","Connecticut","09",3212,250620,1281.6
,"2001","2001","Delaware","10",971,63392,1531.7
,"2001","2001","District of Columbia","11",784,40685,1927.0
,"2001","2001","Florida","12",20577,1495833,1375.6
,"2001","2001","Georgia","13",9582,541439,1769.7
,"2001","2001","Hawaii","15",1049,90868,1154.4
,"2001","2001","Idaho","16",1211,91237,1327.3
,"2001","2001","Illinois","17",13434,866507,1550.4
,"2001","2001","Indiana","18",7372,445455,1654.9
,"2001","2001","Iowa","19",3062,227016,1348.8
,"2001","2001","Kansas","20",2811,190041,1479.2
,"2001","2001","Kentucky","21",5887,318658,1847.4
,"2001","2001","Louisiana","22",6076,322706,1882.8
,"2001","2001","Maine","23",1601,106354,1505.4
,"2001","2001","Maryland","24",5846,379327,1541.2
,"2001","2001","Massachusetts","25",6176,456024,1354.3
,"2001","2001","Michigan","26",11046,713447,1548.3
,"2001","2001","Minnesota","27",4251,338320,1256.5
,"2001","2001","Mississippi","28",4239,214339,1977.7
,"2001","2001","Missouri","29",7082,440076,1609.3
,"2001","2001","Montana","30",1001,72407,1382.5
,"2001","2001","Nebraska","31",1648,123634,1333.0
,"2001","2001","Nevada","32",2790,166803,1672.6
,"2001","2001","New Hampshire","33",1269,90136,1407.9
,"2001","2001","New Jersey","34",8979,628009,1429.8
,"2001","2001","New Mexico","35",1831,138148,1325.4
,"2001","2001","New York","36",19948,1424370,1400.5
,"2001","2001","North Carolina","37",10203,622737,1638.4
,"2001","2001","North Dakota","38",641,47658,1345.0
,"2001","2001","Ohio","39",14109,864086,1632.8
,"2001","2001","Oklahoma","40",4786,275831,1735.1
,"2001","2001","Oregon","41",3624,251584,1440.5
,"2001","2001","Pennsylvania","42",15183,990282,1533.2
,"2001","2001","Rhode Island","44",1108,75043,1476.5
,"2001","2001","South Carolina","45",5573,321657,1732.6
,"2001","2001","South Dakota","46",787,55857,1409.0
,"2001","2001","Tennessee","47",8109,454528,1784.0
,"2001","2001","Texas","48",21205,1347433,1573.7
,"2001","2001","Utah","49",1446,119985,1205.2
,"2001","2001","Vermont","50",615,46355,1326.7
,"2001","2001","Virginia","51",7921,517356,1531.1
,"2001","2001","Washington","53",5590,398711,1402.0
,"2001","2001","West Virginia","54",2913,163217,1784.7
,"2001","2001","Wisconsin","55",5358,390563,1371.9
,"2001","2001","Wyoming","56",529,37141,1424.3
"Total","2001","2001",,,312848,20698553,1511.4
,"2002","2002","Alabama","01",6522,369375,1765.7
,"2002","2002","Alaska","02",468,33897,1380.7
,"2002","2002","Arizona","04",5639,420269,1341.8
,"2002","2002","Arkansas","05",4003,231388,1730.0
,"2002","2002","California","06",29335,2241095,1309.0
,"2002","2002","Colorado","08",3510,284045,1235.7
,"2002","2002","Connecticut","09",3110,256077,1214.5
,"2002","2002","Delaware","10",917,65125,1408.1
,"2002","2002","District of Columbia","11",795,41375,1921.5
