"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",213991,Not Applicable,Not Applicable
,"2000","2000",219283,Not Applicable,Not Applicable
,"2001","2001",221314,Not Applicable,Not Applicable
,"2002","2002",228587,Not Applicable,Not Applicable
,"2003","2003",231403,Not Applicable,Not Applicable
,"2004","2004",227661,Not Applicable,Not Applicable
,"2005","2005",239706,Not Applicable,Not Applicable
,"2006","2006",238362,Not Applicable,Not Applicable
,"2007","2007",240180,Not Applicable,Not Applicable
,"2008","2008",251381,Not Applicable,Not Applicable
,"2009","2009",245534,Not Applicable,Not Applicable
,"2010","2010",259524,Not Applicable,Not Applicable
,"2011","2011",274213,Not Applicable,Not Applicable
,"2012","2012",284273,Not Applicable,Not Applicable
,"2013","2013",294187,Not Applicable,Not Applicable
,"2014","2014",300366,Not Applicable,Not Applicable
,"2015","2015",313796,Not Applicable,Not Applicable
,"2016","2016",310771,Not Applicable,Not Applicable
,"2017","2017",319443,Not Applicable,Not Applicable
,"2018","2018",320069,Not Applicable,Not Applicable
,"2019","2019",317483,Not Applicable,Not Applicable
,"2020 ","2020",365686,Not Applicable,Not Applicable
"Total",,,5917213,Not Applicable,Not Applicable
