"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"1999","1999","Alabama","01",727,294940,246.5
,"1999","1999","Alaska","02",74,47936,154.4
,"1999","1999","Arizona","04",656,376088,174.4
,"1999","1999","Arkansas","05",355,181127,196.0
,"1999","1999","California","06",3402,2512147,135.4
,"1999","1999","Colorado","08",494,291218,169.6
,"1999","1999","Connecticut","09",300,222817,134.6
,"1999","1999","Delaware","10",94,51069,184.1
,"1999","1999","District of Columbia","11",127,32898,386.0
,"1999","1999","Florida","12",1781,941773,189.1
,"1999","1999","Georgia","13",1211,582968,207.7
,"1999","1999","Hawaii","15",135,79745,169.3
,"1999","1999","Idaho","16",163,96186,169.5
,"1999","1999","Illinois","17",1806,881966,204.8
,"1999","1999","Indiana","18",828,420905,196.7
,"1999","1999","Iowa","19",262,186730,140.3
,"1999","1999","Kansas","20",345,187202,184.3
,"1999","1999","Kentucky","21",470,265533,177.0
,"1999","1999","Louisiana","22",746,317361,235.1
,"1999","1999","Maine","23",78,70528,110.6
,"1999","1999","Maryland","24",685,354631,193.2
,"1999","1999","Massachusetts","25",482,399251,120.7
,"1999","1999","Michigan","26",1278,671817,190.2
,"1999","1999","Minnesota","27",485,326601,148.5
,"1999","1999","Mississippi","28",525,203788,257.6
,"1999","1999","Missouri","29",672,369129,182.1
,"1999","1999","Montana","30",88,54692,160.9
,"1999","1999","Nebraska","31",192,116334,165.0
,"1999","1999","Nevada","32",243,142084,171.0
,"1999","1999","New Hampshire","33",98,75786,129.3
,"1999","1999","New Jersey","34",900,562576,160.0
,"1999","1999","New Mexico","35",221,131504,168.1
,"1999","1999","New York","36",1915,1246159,153.7
,"1999","1999","North Carolina","37",1186,529289,224.1
,"1999","1999","North Dakota","38",69,39832,173.2
,"1999","1999","Ohio","39",1436,757189,189.6
,"1999","1999","Oklahoma","40",515,234156,219.9
,"1999","1999","Oregon","41",310,221459,140.0
,"1999","1999","Pennsylvania","42",1241,731938,169.5
,"1999","1999","Rhode Island","44",83,64271,129.1
,"1999","1999","South Carolina","45",657,262066,250.7
,"1999","1999","South Dakota","46",104,50724,205.0
,"1999","1999","Tennessee","47",724,370844,195.2
,"1999","1999","Texas","48",2623,1617191,162.2
,"1999","1999","Utah","49",274,206433,132.7
,"1999","1999","Vermont","50",42,33926,123.8
,"1999","1999","Virginia","51",803,458449,175.2
,"1999","1999","Washington","53",490,392863,124.7
,"1999","1999","West Virginia","54",177,102512,172.7
,"1999","1999","Wisconsin","55",569,335824,169.4
,"1999","1999","Wyoming","56",45,31091,144.7
"Total","1999","1999",,,33186,19135546,173.4
,"2000","2000","Alabama","01",693,295992,234.1
,"2000","2000","Alaska","02",89,47591,187.0
,"2000","2000","Arizona","04",686,382386,179.4
,"2000","2000","Arkansas","05",391,181585,215.3
,"2000","2000","California","06",3474,2486981,139.7
,"2000","2000","Colorado","08",476,297505,160.0
,"2000","2000","Connecticut","09",320,223344,143.3
,"2000","2000","Delaware","10",118,51531,229.0
,"2000","2000","District of Columbia","11",107,32536,328.9
,"2000","2000","Florida","12",1720,945823,181.9
,"2000","2000","Georgia","13",1304,595150,219.1
,"2000","2000","Hawaii","15",153,78163,195.7
,"2000","2000","Idaho","16",172,97643,176.2
,"2000","2000","Illinois","17",1784,876549,203.5
,"2000","2000","Indiana","18",829,423215,195.9
,"2000","2000","Iowa","19",296,188413,157.1
,"2000","2000","Kansas","20",331,188708,175.4
,"2000","2000","Kentucky","21",476,265901,179.0
,"2000","2000","Louisiana","22",738,317392,232.5
,"2000","2000","Maine","23",84,70726,118.8
,"2000","2000","Maryland","24",644,353393,182.2
,"2000","2000","Massachusetts","25",448,397268,112.8
,"2000","2000","Michigan","26",1292,672005,192.3
,"2000","2000","Minnesota","27",435,329594,132.0
,"2000","2000","Mississippi","28",570,204364,278.9
,"2000","2000","Missouri","29",650,369898,175.7
,"2000","2000","Montana","30",86,54869,156.7
,"2000","2000","Nebraska","31",208,117048,177.7
,"2000","2000","Nevada","32",240,145817,164.6
,"2000","2000","New Hampshire","33",95,75685,125.5
,"2000","2000","New Jersey","34",827,563785,146.7
,"2000","2000","New Mexico","35",211,130628,161.5
,"2000","2000","New York","36",1919,1239417,154.8
,"2000","2000","North Carolina","37",1183,539509,219.3
,"2000","2000","North Dakota","38",65,39400,165.0
,"2000","2000","Ohio","39",1386,754930,183.6
,"2000","2000","Oklahoma","40",491,236353,207.7
,"2000","2000","Oregon","41",316,223005,141.7
,"2000","2000","Pennsylvania","42",1200,727804,164.9
,"2000","2000","Rhode Island","44",87,63896,136.2
,"2000","2000","South Carolina","45",564,264679,213.1
,"2000","2000","South Dakota","46",75,51069,146.9
,"2000","2000","Tennessee","47",830,374880,221.4
,"2000","2000","Texas","48",2548,1624628,156.8
,"2000","2000","Utah","49",293,209378,139.9
,"2000","2000","Vermont","50",44,33989,129.5
,"2000","2000","Virginia","51",796,461982,172.3
,"2000","2000","Washington","53",506,394306,128.3
,"2000","2000","West Virginia","54",185,101805,181.7
,"2000","2000","Wisconsin","55",530,342340,154.8
,"2000","2000","Wyoming","56",49,30940,158.4
"Total","2000","2000",,,33014,19175798,172.2
,"2001","2001","Alabama","01",665,296624,224.2
,"2001","2001","Alaska","02",103,47176,218.3
,"2001","2001","Arizona","04",739,394064,187.5
,"2001","2001","Arkansas","05",383,182026,210.4
,"2001","2001","California","06",3375,2489298,135.6
,"2001","2001","Colorado","08",460,309229,148.8
,"2001","2001","Connecticut","09",296,220088,134.5
,"2001","2001","Delaware","10",128,51699,247.6
,"2001","2001","District of Columbia","11",92,32396,284.0
,"2001","2001","Florida","12",1786,967989,184.5
,"2001","2001","Georgia","13",1361,614743,221.4
,"2001","2001","Hawaii","15",125,77624,161.0
,"2001","2001","Idaho","16",156,99882,156.2
,"2001","2001","Illinois","17",1641,873939,187.8
,"2001","2001","Indiana","18",771,425239,181.3
,"2001","2001","Iowa","19",258,188108,137.2
,"2001","2001","Kansas","20",349,188589,185.1
,"2001","2001","Kentucky","21",408,267051,152.8
,"2001","2001","Louisiana","22",773,316761,244.0
,"2001","2001","Maine","23",94,70419,133.5
,"2001","2001","Maryland","24",692,354828,195.0
,"2001","2001","Massachusetts","25",466,395425,117.8
,"2001","2001","Michigan","26",1238,669261,185.0
,"2001","2001","Minnesota","27",424,332716,127.4
,"2001","2001","Mississippi","28",542,204447,265.1
,"2001","2001","Missouri","29",668,370230,180.4
,"2001","2001","Montana","30",86,54440,158.0
,"2001","2001","Nebraska","31",199,117740,169.0
,"2001","2001","Nevada","32",222,151686,146.4
,"2001","2001","New Hampshire","33",79,75798,104.2
,"2001","2001","New Jersey","34",841,561791,149.7
,"2001","2001","New Mexico","35",212,130070,163.0
,"2001","2001","New York","36",1766,1222011,144.5
,"2001","2001","North Carolina","37",1150,555270,207.1
,"2001","2001","North Dakota","38",76,38140,199.3
,"2001","2001","Ohio","39",1345,750509,179.2
,"2001","2001","Oklahoma","40",442,237028,186.5
,"2001","2001","Oregon","41",285,223999,127.2
,"2001","2001","Pennsylvania","42",1213,720201,168.4
,"2001","2001","Rhode Island","44",102,63460,160.7
,"2001","2001","South Carolina","45",562,268388,209.4
,"2001","2001","South Dakota","46",92,50900,180.7
,"2001","2001","Tennessee","47",789,378216,208.6
,"2001","2001","Texas","48",2704,1669530,162.0
,"2001","2001","Utah","49",281,214928,130.7
,"2001","2001","Vermont","50",40,33529,119.3
,"2001","2001","Virginia","51",849,468775,181.1
,"2001","2001","Washington","53",544,396952,137.0
,"2001","2001","West Virginia","54",176,100696,174.8
,"2001","2001","Wisconsin","55",580,343418,168.9
,"2001","2001","Wyoming","56",47,30891,152.1
"Total","2001","2001",,,32675,19298217,169.3
,"2002","2002","Alabama","01",641,296046,216.5
,"2002","2002","Alaska","02",67,47437,141.2
,"2002","2002","Arizona","04",689,405018,170.1
,"2002","2002","Arkansas","05",371,182710,203.1
,"2002","2002","California","06",3418,2492281,137.1
,"2002","2002","Colorado","08",491,316179,155.3
,"2002","2002","Connecticut","09",308,217269,141.8
,"2002","2002","Delaware","10",114,52372,217.7
,"2002","2002","District of Columbia","11",91,32340,281.4
,"2002","2002","Florida","12",1844,990798,186.1
,"2002","2002","Georgia","13",1371,629479,217.8
,"2002","2002","Hawaii","15",144,78444,183.6
,"2002","2002","Idaho","16",157,101754,154.3
,"2002","2002","Illinois","17",1547,872761,177.3
,"2002","2002","Indiana","18",777,425714,182.5
,"2002","2002","Iowa","19",241,187454,128.6
,"2002","2002","Kansas","20",344,190497,180.6
,"2002","2002","Kentucky","21",467,268058,174.2
,"2002","2002","Louisiana","22",808,318825,253.4
,"2002","2002","Maine","23",77,70262,109.6
,"2002","2002","Maryland","24",639,357738,178.6
,"2002","2002","Massachusetts","25",466,392593,118.7
,"2002","2002","Michigan","26",1209,664232,182.0
,"2002","2002","Minnesota","27",458,333452,137.4
