"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",9012,1267768,710.9
,"2022 (provisional)","2022","Alaska","02",974,174780,557.3
,"2022 (provisional)","2022","Arizona","04",9358,1729124,541.2
,"2022 (provisional)","2022","Arkansas","05",5168,738855,699.5
,"2022 (provisional)","2022","California","06",38710,9972937,388.2
,"2022 (provisional)","2022","Colorado","08",6057,1456276,415.9
,"2022 (provisional)","2022","Connecticut","09",3798,946594,401.2
,"2022 (provisional)","2022","Delaware","10",1415,245650,576.0
,"2022 (provisional)","2022","District of Columbia","11",887,152352,582.2
,"2022 (provisional)","2022","Florida","12",27178,5534062,491.1
,"2022 (provisional)","2022","Georgia","13",15174,2804538,541.1
,"2022 (provisional)","2022","Hawaii","15",1501,351489,427.0
,"2022 (provisional)","2022","Idaho","16",1860,450336,413.0
,"2022 (provisional)","2022","Illinois","17",14934,3234982,461.6
,"2022 (provisional)","2022","Indiana","18",9893,1681453,588.4
,"2022 (provisional)","2022","Iowa","19",3546,762049,465.3
,"2022 (provisional)","2022","Kansas","20",3528,689936,511.4
,"2022 (provisional)","2022","Kentucky","21",8459,1142295,740.5
,"2022 (provisional)","2022","Louisiana","22",7996,1124784,710.9
,"2022 (provisional)","2022","Maine","23",1972,355274,555.1
,"2022 (provisional)","2022","Maryland","24",7193,1617348,444.7
,"2022 (provisional)","2022","Massachusetts","25",6892,1795963,383.7
,"2022 (provisional)","2022","Michigan","26",13146,2512551,523.2
,"2022 (provisional)","2022","Minnesota","27",5514,1409094,391.3
,"2022 (provisional)","2022","Mississippi","28",5675,729856,777.6
,"2022 (provisional)","2022","Missouri","29",9221,1509084,611.0
,"2022 (provisional)","2022","Montana","30",1312,258734,507.1
,"2022 (provisional)","2022","Nebraska","31",1935,459636,421.0
,"2022 (provisional)","2022","Nevada","32",4145,804601,515.2
,"2022 (provisional)","2022","New Hampshire","33",1603,366220,437.7
,"2022 (provisional)","2022","New Jersey","34",9531,2477574,384.7
,"2022 (provisional)","2022","New Mexico","35",3535,494477,714.9
,"2022 (provisional)","2022","New York","36",20245,5053564,400.6
,"2022 (provisional)","2022","North Carolina","37",15368,2705315,568.1
,"2022 (provisional)","2022","North Dakota","38",825,169094,487.9
,"2022 (provisional)","2022","Ohio","39",17011,2920916,582.4
,"2022 (provisional)","2022","Oklahoma","40",6663,945528,704.7
,"2022 (provisional)","2022","Oregon","41",4981,1065473,467.5
,"2022 (provisional)","2022","Pennsylvania","42",16027,3240953,494.5
,"2022 (provisional)","2022","Rhode Island","44",1198,276720,432.9
,"2022 (provisional)","2022","South Carolina","45",8299,1294968,640.9
,"2022 (provisional)","2022","South Dakota","46",1044,203706,512.5
,"2022 (provisional)","2022","Tennessee","47",12686,1770897,716.4
,"2022 (provisional)","2022","Texas","48",34272,7329462,467.6
,"2022 (provisional)","2022","Utah","49",2673,746075,358.3
,"2022 (provisional)","2022","Vermont","50",786,162162,484.7
