"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Feb., 1999"	"1999/02"	"Delaware"	"10"	581	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"District of Columbia"	"11"	539	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Florida"	"12"	13499	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Georgia"	"13"	5067	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Hawaii"	"15"	708	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Idaho"	"16"	832	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Illinois"	"17"	9483	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Indiana"	"18"	4811	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Iowa"	"19"	2437	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Kansas"	"20"	2074	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Kentucky"	"21"	3306	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Louisiana"	"22"	3342	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Maine"	"23"	1155	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Maryland"	"24"	3961	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Massachusetts"	"25"	5222	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Michigan"	"26"	7332	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Minnesota"	"27"	3329	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Mississippi"	"28"	2377	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Missouri"	"29"	4746	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Montana"	"30"	725	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nebraska"	"31"	1399	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Nevada"	"32"	1213	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Hampshire"	"33"	842	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Jersey"	"34"	6447	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"New Mexico"	"35"	1226	Not Applicable	Not Applicable
