"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",691144,Not Applicable,Not Applicable
,"2000","2000",698558,Not Applicable,Not Applicable
,"2001","2001",708027,Not Applicable,Not Applicable
,"2002","2002",722899,Not Applicable,Not Applicable
,"2003","2003",724686,Not Applicable,Not Applicable
,"2004","2004",711624,Not Applicable,Not Applicable
,"2005","2005",730175,Not Applicable,Not Applicable
,"2006","2006",721740,Not Applicable,Not Applicable
,"2007","2007",722877,Not Applicable,Not Applicable
,"2008","2008",738742,Not Applicable,Not Applicable
,"2009","2009",721872,Not Applicable,Not Applicable
,"2010","2010",731740,Not Applicable,Not Applicable
,"2011","2011",737861,Not Applicable,Not Applicable
,"2012","2012",732754,Not Applicable,Not Applicable
,"2013","2013",736957,Not Applicable,Not Applicable
,"2014","2014",723971,Not Applicable,Not Applicable
,"2015","2015",737908,Not Applicable,Not Applicable
,"2016","2016",726500,Not Applicable,Not Applicable
,"2017","2017",738382,Not Applicable,Not Applicable
,"2018","2018",738576,Not Applicable,Not Applicable
,"2019","2019",737450,Not Applicable,Not Applicable
,"2020 ","2020",863144,Not Applicable,Not Applicable
"Total",,,16097587,Not Applicable,Not Applicable
