"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",3279528,331893745,988.1
,"2023 (provisional and partial)","2023",2404661,331893745,724.5
"Total",,,5684189,663787490,856.3
