"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"1999","1999","Alabama","01",736,342932,214.6
,"1999","1999","Alaska","02",105,57719,181.9
,"1999","1999","Arizona","04",721,393281,183.3
,"1999","1999","Arkansas","05",393,199896,196.6
,"1999","1999","California","06",3791,2830371,133.9
,"1999","1999","Colorado","08",538,371857,144.7
,"1999","1999","Connecticut","09",407,293075,138.9
,"1999","1999","Delaware","10",123,64858,189.6
,"1999","1999","District of Columbia","11",148,46507,318.2
,"1999","1999","Florida","12",2383,1260288,189.1
,"1999","1999","Georgia","13",1270,693333,183.2
,"1999","1999","Hawaii","15",125,97285,128.5
,"1999","1999","Idaho","16",145,95958,151.1
,"1999","1999","Illinois","17",1590,1009780,157.5
,"1999","1999","Indiana","18",742,482834,153.7
,"1999","1999","Iowa","19",267,221799,120.4
,"1999","1999","Kansas","20",306,211714,144.5
,"1999","1999","Kentucky","21",559,323273,172.9
,"1999","1999","Louisiana","22",798,348415,229.0
,"1999","1999","Maine","23",125,105434,118.6
,"1999","1999","Maryland","24",916,467376,196.0
,"1999","1999","Massachusetts","25",684,542130,126.2
,"1999","1999","Michigan","26",1299,797517,162.9
,"1999","1999","Minnesota","27",480,418658,114.7
,"1999","1999","Mississippi","28",516,213446,241.7
,"1999","1999","Missouri","29",831,449019,185.1
,"1999","1999","Montana","30",96,68607,139.9
,"1999","1999","Nebraska","31",189,132900,142.2
,"1999","1999","Nevada","32",331,163817,202.1
,"1999","1999","New Hampshire","33",100,111031,90.1
,"1999","1999","New Jersey","34",1153,733237,157.2
,"1999","1999","New Mexico","35",305,143231,212.9
,"1999","1999","New York","36",2305,1577435,146.1
,"1999","1999","North Carolina","37",1185,655682,180.7
,"1999","1999","North Dakota","38",54,48510,111.3
,"1999","1999","Ohio","39",1382,897269,154.0
,"1999","1999","Oklahoma","40",500,264617,189.0
,"1999","1999","Oregon","41",379,260244,145.6
,"1999","1999","Pennsylvania","42",1542,964553,159.9
,"1999","1999","Rhode Island","44",143,85892,166.5
,"1999","1999","South Carolina","45",673,314683,213.9
,"1999","1999","South Dakota","46",91,57480,158.3
,"1999","1999","Tennessee","47",949,453699,209.2
,"1999","1999","Texas","48",2714,1697408,159.9
,"1999","1999","Utah","49",251,151548,165.6
,"1999","1999","Vermont","50",64,50052,127.9
,"1999","1999","Virginia","51",917,610098,150.3
,"1999","1999","Washington","53",646,491019,131.6
,"1999","1999","West Virginia","54",256,131892,194.1
,"1999","1999","Wisconsin","55",515,441021,116.8
,"1999","1999","Wyoming","56",66,37875,174.3
"Total","1999","1999",,,36804,22882555,160.8
,"2000","2000","Alabama","01",709,340300,208.3
,"2000","2000","Alaska","02",105,55723,188.4
,"2000","2000","Arizona","04",675,392687,171.9
,"2000","2000","Arkansas","05",389,200340,194.2
,"2000","2000","California","06",3706,2814743,131.7
,"2000","2000","Colorado","08",511,366092,139.6
,"2000","2000","Connecticut","09",419,290866,144.1
,"2000","2000","Delaware","10",107,64654,165.5
,"2000","2000","District of Columbia","11",156,45949,339.5
,"2000","2000","Florida","12",2380,1261040,188.7
,"2000","2000","Georgia","13",1296,698735,185.5
,"2000","2000","Hawaii","15",130,95935,135.5
,"2000","2000","Idaho","16",116,94913,122.2
,"2000","2000","Illinois","17",1541,996886,154.6
,"2000","2000","Indiana","18",736,478207,153.9
,"2000","2000","Iowa","19",262,217897,120.2
,"2000","2000","Kansas","20",297,207549,143.1
,"2000","2000","Kentucky","21",561,321931,174.3
,"2000","2000","Louisiana","22",788,343128,229.7
,"2000","2000","Maine","23",128,104149,122.9
