"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",385116,Not Applicable,Not Applicable
,"2019","2019",378916,Not Applicable,Not Applicable
,"2020","2020",439251,Not Applicable,Not Applicable
,"2021","2021",414900,Not Applicable,Not Applicable
"Total",,,1618183,Not Applicable,Not Applicable
