"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2019 Week 18 ending May 04, 2019"	"2019/18"	2789	Not Applicable	Not Applicable
	"2019 Week 19 ending May 11, 2019"	"2019/19"	2609	Not Applicable	Not Applicable
	"2019 Week 20 ending May 18, 2019"	"2019/20"	2619	Not Applicable	Not Applicable
	"2019 Week 21 ending May 25, 2019"	"2019/21"	2687	Not Applicable	Not Applicable
	"2019 Week 22 ending June 01, 2019"	"2019/22"	2784	Not Applicable	Not Applicable
	"2019 Week 23 ending June 08, 2019"	"2019/23"	2846	Not Applicable	Not Applicable
	"2019 Week 24 ending June 15, 2019"	"2019/24"	2656	Not Applicable	Not Applicable
	"2019 Week 25 ending June 22, 2019"	"2019/25"	2761	Not Applicable	Not Applicable
	"2019 Week 26 ending June 29, 2019"	"2019/26"	2670	Not Applicable	Not Applicable
	"2019 Week 27 ending July 06, 2019"	"2019/27"	2890	Not Applicable	Not Applicable
	"2019 Week 28 ending July 13, 2019"	"2019/28"	2726	Not Applicable	Not Applicable
	"2019 Week 29 ending July 20, 2019"	"2019/29"	2724	Not Applicable	Not Applicable
	"2019 Week 30 ending July 27, 2019"	"2019/30"	2822	Not Applicable	Not Applicable
	"2019 Week 31 ending August 03, 2019"	"2019/31"	2740	Not Applicable	Not Applicable
	"2019 Week 32 ending August 10, 2019"	"2019/32"	2880	Not Applicable	Not Applicable
	"2019 Week 33 ending August 17, 2019"	"2019/33"	2770	Not Applicable	Not Applicable
	"2019 Week 34 ending August 24, 2019"	"2019/34"	2769	Not Applicable	Not Applicable
	"2019 Week 35 ending August 31, 2019"	"2019/35"	2698	Not Applicable	Not Applicable
	"2019 Week 36 ending September 07, 2019"	"2019/36"	2889	Not Applicable	Not Applicable
	"2019 Week 37 ending September 14, 2019"	"2019/37"	2621	Not Applicable	Not Applicable
	"2019 Week 38 ending September 21, 2019"	"2019/38"	2646	Not Applicable	Not Applicable
	"2019 Week 39 ending September 28, 2019"	"2019/39"	2787	Not Applicable	Not Applicable
	"2019 Week 40 ending October 05, 2019"	"2019/40"	2781	Not Applicable	Not Applicable
	"2019 Week 41 ending October 12, 2019"	"2019/41"	2649	Not Applicable	Not Applicable
	"2019 Week 42 ending October 19, 2019"	"2019/42"	2746	Not Applicable	Not Applicable
	"2019 Week 43 ending October 26, 2019"	"2019/43"	2702	Not Applicable	Not Applicable
	"2019 Week 44 ending November 02, 2019"	"2019/44"	2851	Not Applicable	Not Applicable
	"2019 Week 45 ending November 09, 2019"	"2019/45"	2779	Not Applicable	Not Applicable
	"2019 Week 46 ending November 16, 2019"	"2019/46"	2716	Not Applicable	Not Applicable
	"2019 Week 47 ending November 23, 2019"	"2019/47"	2742	Not Applicable	Not Applicable
	"2019 Week 48 ending November 30, 2019"	"2019/48"	2722	Not Applicable	Not Applicable
	"2019 Week 49 ending December 07, 2019"	"2019/49"	2825	Not Applicable	Not Applicable
	"2019 Week 50 ending December 14, 2019"	"2019/50"	2816	Not Applicable	Not Applicable
	"2019 Week 51 ending December 21, 2019"	"2019/51"	2777	Not Applicable	Not Applicable
	"2019 Week 52 ending December 28, 2019"	"2019/52"	2912	Not Applicable	Not Applicable
	"2019 Week Not Available"	"2019/99"	27	Not Applicable	Not Applicable
	"2020 Week 01 ending January 04, 2020"	"2020/01"	3019	Not Applicable	Not Applicable
	"2020 Week 02 ending January 11, 2020"	"2020/02"	2908	Not Applicable	Not Applicable
	"2020 Week 03 ending January 18, 2020"	"2020/03"	2844	Not Applicable	Not Applicable
	"2020 Week 04 ending January 25, 2020"	"2020/04"	2842	Not Applicable	Not Applicable
	"2020 Week 05 ending February 01, 2020"	"2020/05"	2781	Not Applicable	Not Applicable
	"2020 Week 06 ending February 08, 2020"	"2020/06"	2844	Not Applicable	Not Applicable
	"2020 Week 07 ending February 15, 2020"	"2020/07"	2839	Not Applicable	Not Applicable
	"2020 Week 08 ending February 22, 2020"	"2020/08"	2897	Not Applicable	Not Applicable
	"2020 Week 09 ending February 29, 2020"	"2020/09"	2914	Not Applicable	Not Applicable
	"2020 Week 10 ending March 07, 2020"	"2020/10"	3010	Not Applicable	Not Applicable
	"2020 Week 11 ending March 14, 2020"	"2020/11"	2906	Not Applicable	Not Applicable
	"2020 Week 12 ending March 21, 2020"	"2020/12"	3002	Not Applicable	Not Applicable
	"2020 Week 13 ending March 28, 2020"	"2020/13"	3153	Not Applicable	Not Applicable
	"2020 Week 14 ending April 04, 2020"	"2020/14"	3428	Not Applicable	Not Applicable
	"2020 Week 15 ending April 11, 2020"	"2020/15"	3663	Not Applicable	Not Applicable
	"2020 Week 16 ending April 18, 2020"	"2020/16"	3444	Not Applicable	Not Applicable
	"2020 Week 17 ending April 25, 2020"	"2020/17"	3491	Not Applicable	Not Applicable
	"2020 Week 18 ending May 02, 2020"	"2020/18"	3585	Not Applicable	Not Applicable
	"2020 Week 19 ending May 09, 2020"	"2020/19"	3541	Not Applicable	Not Applicable
	"2020 Week 20 ending May 16, 2020"	"2020/20"	3523	Not Applicable	Not Applicable
	"2020 Week 21 ending May 23, 2020"	"2020/21"	3581	Not Applicable	Not Applicable
	"2020 Week 22 ending May 30, 2020"	"2020/22"	3561	Not Applicable	Not Applicable
	"2020 Week 23 ending June 06, 2020"	"2020/23"	3634	Not Applicable	Not Applicable
	"2020 Week 24 ending June 13, 2020"	"2020/24"	3430	Not Applicable	Not Applicable
	"2020 Week 25 ending June 20, 2020"	"2020/25"	3530	Not Applicable	Not Applicable
	"2020 Week 26 ending June 27, 2020"	"2020/26"	3568	Not Applicable	Not Applicable
	"2020 Week 27 ending July 04, 2020"	"2020/27"	3649	Not Applicable	Not Applicable
	"2020 Week 28 ending July 11, 2020"	"2020/28"	3739	Not Applicable	Not Applicable
	"2020 Week 29 ending July 18, 2020"	"2020/29"	3901	Not Applicable	Not Applicable
	"2020 Week 30 ending July 25, 2020"	"2020/30"	3824	Not Applicable	Not Applicable
	"2020 Week 31 ending August 01, 2020"	"2020/31"	3768	Not Applicable	Not Applicable
	"2020 Week 32 ending August 08, 2020"	"2020/32"	3652	Not Applicable	Not Applicable
	"2020 Week 33 ending August 15, 2020"	"2020/33"	3681	Not Applicable	Not Applicable
	"2020 Week 34 ending August 22, 2020"	"2020/34"	3543	Not Applicable	Not Applicable
	"2020 Week 35 ending August 29, 2020"	"2020/35"	3555	Not Applicable	Not Applicable
	"2020 Week 36 ending September 05, 2020"	"2020/36"	3597	Not Applicable	Not Applicable
	"2020 Week 37 ending September 12, 2020"	"2020/37"	3425	Not Applicable	Not Applicable
	"2020 Week 38 ending September 19, 2020"	"2020/38"	3325	Not Applicable	Not Applicable
	"2020 Week 39 ending September 26, 2020"	"2020/39"	3410	Not Applicable	Not Applicable
	"2020 Week 40 ending October 03, 2020"	"2020/40"	3345	Not Applicable	Not Applicable
	"2020 Week 41 ending October 10, 2020"	"2020/41"	3489	Not Applicable	Not Applicable
	"2020 Week 42 ending October 17, 2020"	"2020/42"	3280	Not Applicable	Not Applicable
	"2020 Week 43 ending October 24, 2020"	"2020/43"	3248	Not Applicable	Not Applicable
	"2020 Week 44 ending October 31, 2020"	"2020/44"	3388	Not Applicable	Not Applicable
	"2020 Week 45 ending November 07, 2020"	"2020/45"	3624	Not Applicable	Not Applicable
	"2020 Week 46 ending November 14, 2020"	"2020/46"	3431	Not Applicable	Not Applicable
	"2020 Week 47 ending November 21, 2020"	"2020/47"	3525	Not Applicable	Not Applicable
	"2020 Week 48 ending November 28, 2020"	"2020/48"	3561	Not Applicable	Not Applicable
	"2020 Week 49 ending December 05, 2020"	"2020/49"	3521	Not Applicable	Not Applicable
	"2020 Week 50 ending December 12, 2020"	"2020/50"	3627	Not Applicable	Not Applicable
	"2020 Week 51 ending December 19, 2020"	"2020/51"	3673	Not Applicable	Not Applicable
	"2020 Week 52 ending December 26, 2020"	"2020/52"	3722	Not Applicable	Not Applicable
	"2020 Week 53 ending January 02, 2021"	"2020/53"	4044	Not Applicable	Not Applicable
	"2020 Week Not Available"	"2020/99"	29	Not Applicable	Not Applicable
