"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018","2018","Alabama","01",12767,367780,3471.4
,"2018","2018","Alaska","02",933,37370,2496.7
,"2018","2018","Arizona","04",13670,575927,2373.6
,"2018","2018","Arkansas","05",7694,228684,3364.5
,"2018","2018","California","06",54543,2409030,2264.1
,"2018","2018","Colorado","08",7931,346828,2286.7
,"2018","2018","Connecticut","09",5911,260636,2267.9
,"2018","2018","Delaware","10",2153,81485,2642.2
,"2018","2018","District of Columbia","11",942,35539,2650.6
,"2018","2018","Florida","12",45807,1959208,2338.0
,"2018","2018","Georgia","13",19822,654183,3030.0
,"2018","2018","Hawaii","15",2280,108836,2094.9
,"2018","2018","Idaho","16",3195,123864,2579.4
,"2018","2018","Illinois","17",23051,841100,2740.6
,"2018","2018","Indiana","18",14527,450969,3221.3
,"2018","2018","Iowa","19",6156,220867,2787.2
,"2018","2018","Kansas","20",5688,191006,2977.9
,"2018","2018","Kentucky","21",11575,321045,3605.4
,"2018","2018","Louisiana","22",10382,311695,3330.8
,"2018","2018","Maine","23",3232,119225,2710.8
,"2018","2018","Maryland","24",10508,401024,2620.3
,"2018","2018","Massachusetts","25",11948,479916,2489.6
,"2018","2018","Michigan","26",21274,734848,2895.0
,"2018","2018","Minnesota","27",8794,368852,2384.2
,"2018","2018","Mississippi","28",7348,208582,3522.8
,"2018","2018","Missouri","29",13887,446028,3113.5
,"2018","2018","Montana","30",2279,85539,2664.3
,"2018","2018","Nebraska","31",3468,124409,2787.6
,"2018","2018","Nevada","32",6265,221037,2834.4
,"2018","2018","New Hampshire","33",2666,105569,2525.4
,"2018","2018","New Jersey","34",15180,611817,2481.1
,"2018","2018","New Mexico","35",3998,161107,2481.6
,"2018","2018","New York","36",32057,1351628,2371.7
,"2018","2018","North Carolina","37",21713,751106,2890.8
,"2018","2018","North Dakota","38",1243,45907,2707.6
,"2018","2018","Ohio","39",26611,845187,3148.5
,"2018","2018","Oklahoma","40",9562,272154,3513.5
,"2018","2018","Oregon","41",8135,322750,2520.5
,"2018","2018","Pennsylvania","42",27910,980190,2847.4
,"2018","2018","Rhode Island","44",1995,75611,2638.5
,"2018","2018","South Carolina","45",11970,410826,2913.6
,"2018","2018","South Dakota","46",1523,58556,2600.9
,"2018","2018","Tennessee","47",16454,496017,3317.2
,"2018","2018","Texas","48",44493,1567390,2838.7
,"2018","2018","Utah","49",3723,152395,2443.0
,"2018","2018","Vermont","50",1289,52267,2466.2
,"2018","2018","Virginia","51",15687,581429,2698.0
,"2018","2018","Washington","53",12372,505211,2448.9
,"2018","2018","West Virginia","54",5508,157510,3496.9
,"2018","2018","Wisconsin","55",11016,411562,2676.6
,"2018","2018","Wyoming","56",1142,40788,2799.8
"Total","2018","2018",,,614277,22672489,2709.3
,"2019","2019","Alabama","01",12937,381813,3388.3
,"2019","2019","Alaska","02",996,40117,2482.7
,"2019","2019","Arizona","04",14215,605867,2346.2
,"2019","2019","Arkansas","05",7960,235956,3373.5
,"2019","2019","California","06",55576,2514479,2210.2
,"2019","2019","Colorado","08",8204,367633,2231.6
,"2019","2019","Connecticut","09",6267,270020,2320.9
,"2019","2019","Delaware","10",2072,86088,2406.8
,"2019","2019","District of Columbia","11",943,36974,2550.4
,"2019","2019","Florida","12",46678,2039852,2288.3
,"2019","2019","Georgia","13",20262,688195,2944.2
,"2019","2019","Hawaii","15",2298,114553,2006.1
,"2019","2019","Idaho","16",3428,130923,2618.3
,"2019","2019","Illinois","17",23276,872882,2666.6
,"2019","2019","Indiana","18",14979,470009,3187.0
,"2019","2019","Iowa","19",6418,229378,2798.0
,"2019","2019","Kansas","20",5888,199057,2957.9
,"2019","2019","Kentucky","21",11712,333565,3511.2
,"2019","2019","Louisiana","22",10381,324752,3196.6
,"2019","2019","Maine","23",3361,125371,2680.8
,"2019","2019","Maryland","24",10826,419013,2583.7
,"2019","2019","Massachusetts","25",11681,501580,2328.8
,"2019","2019","Michigan","26",21995,766810,2868.4
,"2019","2019","Minnesota","27",9313,386194,2411.5
,"2019","2019","Mississippi","28",7676,215973,3554.1
,"2019","2019","Missouri","29",14048,462600,3036.7
,"2019","2019","Montana","30",2445,90226,2709.9
,"2019","2019","Nebraska","31",3546,130484,2717.6
,"2019","2019","Nevada","32",6713,232429,2888.2
,"2019","2019","New Hampshire","33",2837,111309,2548.8
,"2019","2019","New Jersey","34",15289,633990,2411.6
,"2019","2019","New Mexico","35",4255,168907,2519.1
,"2019","2019","New York","36",32596,1405882,2318.5
,"2019","2019","North Carolina","37",22440,788970,2844.2
,"2019","2019","North Dakota","38",1270,47804,2656.7
,"2019","2019","Ohio","39",27291,879972,3101.3
,"2019","2019","Oklahoma","40",9615,280342,3429.7
,"2019","2019","Oregon","41",8762,341064,2569.0
,"2019","2019","Pennsylvania","42",28355,1018313,2784.5
,"2019","2019","Rhode Island","44",2080,78818,2639.0
,"2019","2019","South Carolina","45",12385,434407,2851.0
,"2019","2019","South Dakota","46",1673,61636,2714.3
,"2019","2019","Tennessee","47",17018,516865,3292.5
,"2019","2019","Texas","48",45838,1643230,2789.5
,"2019","2019","Utah","49",3911,160928,2430.3
,"2019","2019","Vermont","50",1348,55141,2444.6
,"2019","2019","Virginia","51",16107,608232,2648.2
,"2019","2019","Washington","53",13205,534493,2470.6
,"2019","2019","West Virginia","54",5553,163844,3389.2
,"2019","2019","Wisconsin","55",11530,431420,2672.6
,"2019","2019","Wyoming","56",1188,42737,2779.8
"Total","2019","2019",,,630640,23681097,2663.1
,"2020","2020","Alabama","01",15893,396138,4012.0
,"2020","2020","Alaska","02",1171,42567,2751.0
