"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",490,291802,167.9
,"2022 (provisional)","2022","Alaska","02",74,48111,153.8
,"2022 (provisional)","2022","Arizona","04",591,401856,147.1
,"2022 (provisional)","2022","Arkansas","05",330,181560,181.8
,"2022 (provisional)","2022","California","06",2033,2217145,91.7
,"2022 (provisional)","2022","Colorado","08",340,313160,108.6
,"2022 (provisional)","2022","Connecticut","09",177,178211,99.3
,"2022 (provisional)","2022","Delaware","10",95,53501,177.6
,"2022 (provisional)","2022","District of Columbia","11",53,40759,130.0
,"2022 (provisional)","2022","Florida","12",1605,1103794,145.4
,"2022 (provisional)","2022","Georgia","13",1051,633315,166.0
,"2022 (provisional)","2022","Hawaii","15",112,82785,135.3
,"2022 (provisional)","2022","Idaho","16",133,114324,116.3
,"2022 (provisional)","2022","Illinois","17",863,706621,122.1
,"2022 (provisional)","2022","Indiana","18",692,408309,169.5
,"2022 (provisional)","2022","Iowa","19",237,189056,125.4
,"2022 (provisional)","2022","Kansas","20",245,178147,137.5
,"2022 (provisional)","2022","Kentucky","21",390,265121,147.1
,"2022 (provisional)","2022","Louisiana","22",518,285149,181.7
,"2022 (provisional)","2022","Maine","23",93,62340,149.2
,"2022 (provisional)","2022","Maryland","24",486,354588,137.1
,"2022 (provisional)","2022","Massachusetts","25",268,346922,77.3
,"2022 (provisional)","2022","Michigan","26",790,548355,144.1
,"2022 (provisional)","2022","Minnesota","27",350,337504,103.7
,"2022 (provisional)","2022","Mississippi","28",389,176891,219.9
,"2022 (provisional)","2022","Missouri","29",561,360045,155.8
,"2022 (provisional)","2022","Montana","30",63,58251,108.2
,"2022 (provisional)","2022","Nebraska","31",161,125790,128.0
,"2022 (provisional)","2022","Nevada","32",192,178077,107.8
,"2022 (provisional)","2022","New Hampshire","33",53,62292,85.1
,"2022 (provisional)","2022","New Jersey","34",433,519195,83.4
,"2022 (provisional)","2022","New Mexico","35",145,115008,126.1
,"2022 (provisional)","2022","New York","36",1053,1099062,95.8
,"2022 (provisional)","2022","North Carolina","37",980,589463,166.3
,"2022 (provisional)","2022","North Dakota","38",55,51390,107.0
,"2022 (provisional)","2022","Ohio","39",1085,673707,161.0
,"2022 (provisional)","2022","Oklahoma","40",398,246369,161.5
,"2022 (provisional)","2022","Oregon","41",212,212784,99.6
,"2022 (provisional)","2022","Pennsylvania","42",887,681354,130.2
,"2022 (provisional)","2022","Rhode Island","44",45,53550,84.0
,"2022 (provisional)","2022","South Carolina","45",464,282964,164.0
,"2022 (provisional)","2022","South Dakota","46",98,58668,167.0
,"2022 (provisional)","2022","Tennessee","47",647,402350,160.8
,"2022 (provisional)","2022","Texas","48",2702,1905442,141.8
,"2022 (provisional)","2022","Utah","49",267,237234,112.5
,"2022 (provisional)","2022","Vermont","50",29,28249,102.7
,"2022 (provisional)","2022","Virginia","51",683,490808,139.2
,"2022 (provisional)","2022","Washington","53",448,434017,103.2
,"2022 (provisional)","2022","West Virginia","54",150,89407,167.8
,"2022 (provisional)","2022","Wisconsin","55",412,320245,128.7
,"2022 (provisional)","2022","Wyoming","56",43,32291,133.2
"Total","2022 (provisional)","2022",,,24671,18827338,131.0
,"2023 (provisional and partial)","2023","Alabama","01",368,291802,126.1
,"2023 (provisional and partial)","2023","Alaska","02",46,48111,95.6
,"2023 (provisional and partial)","2023","Arizona","04",409,401856,101.8
,"2023 (provisional and partial)","2023","Arkansas","05",256,181560,141.0
,"2023 (provisional and partial)","2023","California","06",1528,2217145,68.9
,"2023 (provisional and partial)","2023","Colorado","08",248,313160,79.2
,"2023 (provisional and partial)","2023","Connecticut","09",130,178211,72.9
,"2023 (provisional and partial)","2023","Delaware","10",49,53501,91.6
,"2023 (provisional and partial)","2023","District of Columbia","11",48,40759,117.8
,"2023 (provisional and partial)","2023","Florida","12",1229,1103794,111.3
,"2023 (provisional and partial)","2023","Georgia","13",597,633315,94.3
,"2023 (provisional and partial)","2023","Hawaii","15",63,82785,76.1
,"2023 (provisional and partial)","2023","Idaho","16",97,114324,84.8
,"2023 (provisional and partial)","2023","Illinois","17",633,706621,89.6
,"2023 (provisional and partial)","2023","Indiana","18",431,408309,105.6
,"2023 (provisional and partial)","2023","Iowa","19",141,189056,74.6
,"2023 (provisional and partial)","2023","Kansas","20",180,178147,101.0
,"2023 (provisional and partial)","2023","Kentucky","21",270,265121,101.8
,"2023 (provisional and partial)","2023","Louisiana","22",304,285149,106.6
,"2023 (provisional and partial)","2023","Maine","23",53,62340,85.0
,"2023 (provisional and partial)","2023","Maryland","24",346,354588,97.6
,"2023 (provisional and partial)","2023","Massachusetts","25",192,346922,55.3
,"2023 (provisional and partial)","2023","Michigan","26",547,548355,99.8
,"2023 (provisional and partial)","2023","Minnesota","27",260,337504,77.0
,"2023 (provisional and partial)","2023","Mississippi","28",253,176891,143.0
,"2023 (provisional and partial)","2023","Missouri","29",353,360045,98.0
,"2023 (provisional and partial)","2023","Montana","30",63,58251,108.2
,"2023 (provisional and partial)","2023","Nebraska","31",116,125790,92.2
,"2023 (provisional and partial)","2023","Nevada","32",152,178077,85.4
,"2023 (provisional and partial)","2023","New Hampshire","33",32,62292,51.4
