"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",306133,18394320,1664.3
,"2023 (provisional and partial)","2023",224366,18394320,1219.8
"Total",,,530499,36788640,1442.0
