"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022","Alabama","01",5386,335619,1604.8
,"2022 (provisional)","2022","Alaska","02",541,45236,1196.0
,"2022 (provisional)","2022","Arizona","04",5288,443743,1191.7
,"2022 (provisional)","2022","Arkansas","05",3187,191949,1660.3
,"2022 (provisional)","2022","California","06",22285,2322720,959.4
,"2022 (provisional)","2022","Colorado","08",3323,353338,940.5
,"2022 (provisional)","2022","Connecticut","09",2285,254875,896.5
,"2022 (provisional)","2022","Delaware","10",860,73186,1175.1
,"2022 (provisional)","2022","District of Columbia","11",502,31914,1573.0
,"2022 (provisional)","2022","Florida","12",16819,1480962,1135.7
,"2022 (provisional)","2022","Georgia","13",8665,643278,1347.0
,"2022 (provisional)","2022","Hawaii","15",858,91482,937.9
,"2022 (provisional)","2022","Idaho","16",1158,117316,987.1
,"2022 (provisional)","2022","Illinois","17",9376,820867,1142.2
,"2022 (provisional)","2022","Indiana","18",6133,436953,1403.6
,"2022 (provisional)","2022","Iowa","19",2372,210704,1125.7
,"2022 (provisional)","2022","Kansas","20",2381,186398,1277.4
,"2022 (provisional)","2022","Kentucky","21",4922,297113,1656.6
,"2022 (provisional)","2022","Louisiana","22",4581,298805,1533.1
,"2022 (provisional)","2022","Maine","23",1271,109633,1159.3
,"2022 (provisional)","2022","Maryland","24",4330,405447,1068.0
,"2022 (provisional)","2022","Massachusetts","25",4150,472482,878.3
,"2022 (provisional)","2022","Michigan","26",8511,704159,1208.7
,"2022 (provisional)","2022","Minnesota","27",3424,380920,898.9
,"2022 (provisional)","2022","Mississippi","28",3446,190350,1810.3
,"2022 (provisional)","2022","Missouri","29",5925,417141,1420.4
,"2022 (provisional)","2022","Montana","30",847,78676,1076.6
,"2022 (provisional)","2022","Nebraska","31",1252,122403,1022.9
,"2022 (provisional)","2022","Nevada","32",2448,192482,1271.8
,"2022 (provisional)","2022","New Hampshire","33",1060,110307,961.0
,"2022 (provisional)","2022","New Jersey","34",5629,623555,902.7
,"2022 (provisional)","2022","New Mexico","35",1839,138112,1331.5
,"2022 (provisional)","2022","New York","36",12440,1320663,942.0
,"2022 (provisional)","2022","North Carolina","37",8815,676803,1302.4
,"2022 (provisional)","2022","North Dakota","38",479,47717,1003.8
,"2022 (provisional)","2022","Ohio","39",11031,807221,1366.5
,"2022 (provisional)","2022","Oklahoma","40",4125,245513,1680.2
,"2022 (provisional)","2022","Oregon","41",3118,271087,1150.2
,"2022 (provisional)","2022","Pennsylvania","42",10616,917204,1157.4
,"2022 (provisional)","2022","Rhode Island","44",677,77027,878.9
,"2022 (provisional)","2022","South Carolina","45",5043,349399,1443.3
,"2022 (provisional)","2022","South Dakota","46",632,60473,1045.1
,"2022 (provisional)","2022","Tennessee","47",7206,450992,1597.8
,"2022 (provisional)","2022","Texas","48",19611,1611004,1217.3
,"2022 (provisional)","2022","Utah","49",1315,155492,845.7
,"2022 (provisional)","2022","Vermont","50",521,49709,1048.1
,"2022 (provisional)","2022","Virginia","51",6253,548027,1141.0
,"2022 (provisional)","2022","Washington","53",5046,478957,1053.5
,"2022 (provisional)","2022","West Virginia","54",2320,127674,1817.1
,"2022 (provisional)","2022","Wisconsin","55",4405,418336,1053.0
,"2022 (provisional)","2022","Wyoming","56",483,40327,1197.7
"Total","2022 (provisional)","2022",,,249190,21235750,1173.4
,"2023 (provisional and partial)","2023","Alabama","01",3849,335619,1146.8
,"2023 (provisional and partial)","2023","Alaska","02",365,45236,806.9
,"2023 (provisional and partial)","2023","Arizona","04",3770,443743,849.6
,"2023 (provisional and partial)","2023","Arkansas","05",2406,191949,1253.5
,"2023 (provisional and partial)","2023","California","06",16020,2322720,689.7
,"2023 (provisional and partial)","2023","Colorado","08",2461,353338,696.5
,"2023 (provisional and partial)","2023","Connecticut","09",1662,254875,652.1
,"2023 (provisional and partial)","2023","Delaware","10",582,73186,795.2
,"2023 (provisional and partial)","2023","District of Columbia","11",322,31914,1009.0
,"2023 (provisional and partial)","2023","Florida","12",12444,1480962,840.3
,"2023 (provisional and partial)","2023","Georgia","13",6015,643278,935.1
,"2023 (provisional and partial)","2023","Hawaii","15",656,91482,717.1
,"2023 (provisional and partial)","2023","Idaho","16",792,117316,675.1
,"2023 (provisional and partial)","2023","Illinois","17",6538,820867,796.5
,"2023 (provisional and partial)","2023","Indiana","18",4293,436953,982.5
,"2023 (provisional and partial)","2023","Iowa","19",1694,210704,804.0
,"2023 (provisional and partial)","2023","Kansas","20",1689,186398,906.1
,"2023 (provisional and partial)","2023","Kentucky","21",3427,297113,1153.4
,"2023 (provisional and partial)","2023","Louisiana","22",3161,298805,1057.9
,"2023 (provisional and partial)","2023","Maine","23",931,109633,849.2
,"2023 (provisional and partial)","2023","Maryland","24",3222,405447,794.7
,"2023 (provisional and partial)","2023","Massachusetts","25",2969,472482,628.4
,"2023 (provisional and partial)","2023","Michigan","26",6276,704159,891.3
,"2023 (provisional and partial)","2023","Minnesota","27",2429,380920,637.7
,"2023 (provisional and partial)","2023","Mississippi","28",2310,190350,1213.6
,"2023 (provisional and partial)","2023","Missouri","29",4062,417141,973.8
,"2023 (provisional and partial)","2023","Montana","30",641,78676,814.7
,"2023 (provisional and partial)","2023","Nebraska","31",970,122403,792.5
,"2023 (provisional and partial)","2023","Nevada","32",1525,192482,792.3
,"2023 (provisional and partial)","2023","New Hampshire","33",770,110307,698.1
,"2023 (provisional and partial)","2023","New Jersey","34",4001,623555,641.6
,"2023 (provisional and partial)","2023","New Mexico","35",1210,138112,876.1
,"2023 (provisional and partial)","2023","New York","36",9018,1320663,682.8
,"2023 (provisional and partial)","2023","North Carolina","37",6422,676803,948.9
,"2023 (provisional and partial)","2023","North Dakota","38",355,47717,744.0
,"2023 (provisional and partial)","2023","Ohio","39",7655,807221,948.3
,"2023 (provisional and partial)","2023","Oklahoma","40",2870,245513,1169.0
,"2023 (provisional and partial)","2023","Oregon","41",2169,271087,800.1
,"2023 (provisional and partial)","2023","Pennsylvania","42",7336,917204,799.8
,"2023 (provisional and partial)","2023","Rhode Island","44",564,77027,732.2
,"2023 (provisional and partial)","2023","South Carolina","45",3547,349399,1015.2
,"2023 (provisional and partial)","2023","South Dakota","46",441,60473,729.3
,"2023 (provisional and partial)","2023","Tennessee","47",5009,450992,1110.7
