"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2020","2020","Maryland","24",5778,830791,695.5
,"2020","2020","Massachusetts","25",4963,942812,526.4
,"2020","2020","Michigan","26",9987,1328150,751.9
,"2020","2020","Minnesota","27",3756,720662,521.2
,"2020","2020","Mississippi","28",4159,372443,1116.7
,"2020","2020","Missouri","29",6355,780822,813.9
,"2020","2020","Montana","30",940,129894,723.7
,"2020","2020","Nebraska","31",1434,226043,634.4
,"2020","2020","Nevada","32",3097,397379,779.4
,"2020","2020","New Hampshire","33",1056,204044,517.5
,"2020","2020","New Jersey","34",8128,1241218,654.8
,"2020","2020","New Mexico","35",2290,250678,913.5
,"2020","2020","New York","36",17166,2577199,666.1
,"2020","2020","North Carolina","37",10153,1385928,732.6
,"2020","2020","North Dakota","38",569,83972,677.6
,"2020","2020","Ohio","39",12128,1517907,799.0
,"2020","2020","Oklahoma","40",4515,469799,961.0
,"2020","2020","Oregon","41",3173,513761,617.6
,"2020","2020","Pennsylvania","42",11597,1708218,678.9
,"2020","2020","Rhode Island","44",895,145333,615.8
,"2020","2020","South Carolina","45",6004,675468,888.9
,"2020","2020","South Dakota","46",715,104645,683.3
,"2020","2020","Tennessee","47",8485,894377,948.7
,"2020","2020","Texas","48",25052,3440077,728.2
,"2020","2020","Utah","49",1664,310002,536.8
,"2020","2020","Vermont","50",495,86073,575.1
,"2020","2020","Virginia","51",7288,1128587,645.8
,"2020","2020","Washington","53",5261,941745,558.6
,"2020","2020","West Virginia","54",2479,236134,1049.8
,"2020","2020","Wisconsin","55",4791,778502,615.4
,"2020","2020","Wyoming","56",508,68327,743.5
"Total","2020","2020",,,297939,41998626,709.4
,"2021","2021","Alabama","01",7428,657553,1129.6
,"2021","2021","Alaska","02",747,87678,852.0
,"2021","2021","Arizona","04",7596,865303,877.8
,"2021","2021","Arkansas","05",4167,375111,1110.9
,"2021","2021","California","06",31551,4952545,637.1
,"2021","2021","Colorado","08",4385,703629,623.2
,"2021","2021","Connecticut","09",2942,513720,572.7
,"2021","2021","Delaware","10",1038,132914,781.0
,"2021","2021","District of Columbia","11",695,68718,1011.4
,"2021","2021","Florida","12",23262,2896046,803.2
,"2021","2021","Georgia","13",12532,1412594,887.2
,"2021","2021","Hawaii","15",1113,176573,630.3
,"2021","2021","Idaho","16",1482,219134,676.3
,"2021","2021","Illinois","17",11263,1638750,687.3
,"2021","2021","Indiana","18",7422,856312,866.7
,"2021","2021","Iowa","19",2622,388374,675.1
,"2021","2021","Kansas","20",2635,345827,761.9
,"2021","2021","Kentucky","21",6629,588207,1127.0
,"2021","2021","Louisiana","22",6256,571554,1094.6
,"2021","2021","Maine","23",1473,195597,753.1
,"2021","2021","Maryland","24",5642,844356,668.2
,"2021","2021","Massachusetts","25",5055,957314,528.0
,"2021","2021","Michigan","26",10725,1338829,801.1
,"2021","2021","Minnesota","27",3945,720752,547.3
,"2021","2021","Mississippi","28",4655,372303,1250.3
,"2021","2021","Missouri","29",7034,778776,903.2
,"2021","2021","Montana","30",1017,131109,775.7
,"2021","2021","Nebraska","31",1510,227712,663.1
,"2021","2021","Nevada","32",3361,402724,834.6
,"2021","2021","New Hampshire","33",1134,205300,552.4
,"2021","2021","New Jersey","34",7516,1294110,580.8
,"2021","2021","New Mexico","35",2684,250299,1072.3
,"2021","2021","New York","36",15774,2662544,592.4
,"2021","2021","North Carolina","37",11846,1393302,850.2
