"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2022 (provisional)","2022",555323,39630070,1401.3
,"2023 (provisional and partial)","2023",401766,39630070,1013.8
"Total",,,957089,79260140,1207.5
