"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",27461,23561756,116.5
,"2019","2019",26969,23509016,114.7
,"2020","2020",32696,23231243,140.7
,"2021","2021",35195,22392477,157.2
"Total",,,122321,92694492,132.0
