"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",42763,19714301,216.9
,"2019","2019",44348,19921623,222.6
,"2020","2020",56409,20307888,277.8
,"2021","2021",68536,21104536,324.7
"Total",,,212056,81048348,261.6
