"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"1999","1999","Jan., 1999","1999/01",5187,Not Applicable,Not Applicable
,"1999","1999","Feb., 1999","1999/02",4777,Not Applicable,Not Applicable
,"1999","1999","Mar., 1999","1999/03",5008,Not Applicable,Not Applicable
,"1999","1999","Apr., 1999","1999/04",4869,Not Applicable,Not Applicable
,"1999","1999","May, 1999","1999/05",5144,Not Applicable,Not Applicable
,"1999","1999","Jun., 1999","1999/06",5012,Not Applicable,Not Applicable
,"1999","1999","Jul., 1999","1999/07",5288,Not Applicable,Not Applicable
,"1999","1999","Aug., 1999","1999/08",5134,Not Applicable,Not Applicable
,"1999","1999","Sep., 1999","1999/09",4886,Not Applicable,Not Applicable
,"1999","1999","Oct., 1999","1999/10",5001,Not Applicable,Not Applicable
,"1999","1999","Nov., 1999","1999/11",4718,Not Applicable,Not Applicable
,"1999","1999","Dec., 1999","1999/12",5143,Not Applicable,Not Applicable
"Total","1999","1999",,,60167,Not Applicable,Not Applicable
,"2000","2000","Jan., 2000","2000/01",5266,Not Applicable,Not Applicable
,"2000","2000","Feb., 2000","2000/02",4776,Not Applicable,Not Applicable
,"2000","2000","Mar., 2000","2000/03",4857,Not Applicable,Not Applicable
,"2000","2000","Apr., 2000","2000/04",4766,Not Applicable,Not Applicable
,"2000","2000","May, 2000","2000/05",5037,Not Applicable,Not Applicable
,"2000","2000","Jun., 2000","2000/06",4819,Not Applicable,Not Applicable
,"2000","2000","Jul., 2000","2000/07",5083,Not Applicable,Not Applicable
,"2000","2000","Aug., 2000","2000/08",5079,Not Applicable,Not Applicable
,"2000","2000","Sep., 2000","2000/09",4720,Not Applicable,Not Applicable
,"2000","2000","Oct., 2000","2000/10",4897,Not Applicable,Not Applicable
,"2000","2000","Nov., 2000","2000/11",4628,Not Applicable,Not Applicable
,"2000","2000","Dec., 2000","2000/12",4982,Not Applicable,Not Applicable
"Total","2000","2000",,,58910,Not Applicable,Not Applicable
,"2001","2001","Jan., 2001","2001/01",5093,Not Applicable,Not Applicable
,"2001","2001","Feb., 2001","2001/02",4644,Not Applicable,Not Applicable
,"2001","2001","Mar., 2001","2001/03",5033,Not Applicable,Not Applicable
,"2001","2001","Apr., 2001","2001/04",4830,Not Applicable,Not Applicable
