"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",320069,Not Applicable,Not Applicable
,"2019","2019",317483,Not Applicable,Not Applicable
,"2020","2020",365686,Not Applicable,Not Applicable
,"2021","2021",336925,Not Applicable,Not Applicable
"Total",,,1340163,Not Applicable,Not Applicable
