"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	49038	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	57787	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	55345	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	53737	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	52300	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	52509	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	51253	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	49708	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	48899	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	49280	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	48537	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	47930	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	47259	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	47763	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	47585	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	46696	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	46223	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	46458	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	45048	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	43791	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	44159	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	44322	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	45087	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	44373	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	44329	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	44194	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	44927	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	44444	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	43934	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	43670	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	44133	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	44319	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	43674	Not Applicable	Not Applicable
	"2018 Week 34 ending August 25, 2018"	"2018/34"	43910	Not Applicable	Not Applicable
	"2018 Week 35 ending September 01, 2018"	"2018/35"	43996	Not Applicable	Not Applicable
	"2018 Week 36 ending September 08, 2018"	"2018/36"	43754	Not Applicable	Not Applicable
	"2018 Week 37 ending September 15, 2018"	"2018/37"	44364	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	44753	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	44215	Not Applicable	Not Applicable
	"2018 Week 40 ending October 06, 2018"	"2018/40"	45438	Not Applicable	Not Applicable
	"2018 Week 41 ending October 13, 2018"	"2018/41"	44936	Not Applicable	Not Applicable
