"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",54559,80039970,68.2
,"2000","2000",53990,80473265,67.1
,"2001","2001",53325,80906541,65.9
,"2002","2002",53854,81173400,66.3
,"2003","2003",53539,81425816,65.8
,"2004","2004",53261,81754354,65.1
,"2005","2005",53501,82005260,65.2
,"2006","2006",53046,82324418,64.4
,"2007","2007",53287,82749431,64.4
,"2008","2008",50847,83118264,61.2
,"2009","2009",48033,83280391,57.7
,"2010","2010",45068,83267556,54.1
,"2011","2011",44226,82845149,53.4
,"2012","2012",43121,82504800,52.3
,"2013","2013",42328,82248087,51.5
,"2014","2014",41881,82135602,51.0
,"2015","2015",43017,82125690,52.4
,"2016","2016",43521,82105068,53.0
,"2017","2017",42672,82153212,51.9
,"2018","2018",41127,81982665,50.2
,"2019","2019",40352,81625416,49.4
,"2020 ","2020",41012,81254355,50.5
"Total",,,1049567,1803498710,58.2
