"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 37 ending September 15, 2018"	"2018/37"	50532	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	51055	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	50450	Not Applicable	Not Applicable
	"2018 Week 40 ending October 06, 2018"	"2018/40"	51817	Not Applicable	Not Applicable
	"2018 Week 41 ending October 13, 2018"	"2018/41"	51317	Not Applicable	Not Applicable
	"2018 Week 42 ending October 20, 2018"	"2018/42"	52475	Not Applicable	Not Applicable
	"2018 Week 43 ending October 27, 2018"	"2018/43"	53233	Not Applicable	Not Applicable
	"2018 Week 44 ending November 03, 2018"	"2018/44"	53121	Not Applicable	Not Applicable
	"2018 Week 45 ending November 10, 2018"	"2018/45"	53043	Not Applicable	Not Applicable
	"2018 Week 46 ending November 17, 2018"	"2018/46"	54157	Not Applicable	Not Applicable
	"2018 Week 47 ending November 24, 2018"	"2018/47"	54327	Not Applicable	Not Applicable
	"2018 Week 48 ending December 01, 2018"	"2018/48"	54599	Not Applicable	Not Applicable
	"2018 Week 49 ending December 08, 2018"	"2018/49"	55484	Not Applicable	Not Applicable
	"2018 Week 50 ending December 15, 2018"	"2018/50"	55887	Not Applicable	Not Applicable
	"2018 Week 51 ending December 22, 2018"	"2018/51"	56016	Not Applicable	Not Applicable
	"2018 Week 52 ending December 29, 2018"	"2018/52"	55529	Not Applicable	Not Applicable
	"2018 Week Not Available"	"2018/99"	159	Not Applicable	Not Applicable
	"2019 Week 01 ending January 05, 2019"	"2019/01"	57782	Not Applicable	Not Applicable
	"2019 Week 02 ending January 12, 2019"	"2019/02"	57875	Not Applicable	Not Applicable
	"2019 Week 03 ending January 19, 2019"	"2019/03"	57773	Not Applicable	Not Applicable
	"2019 Week 04 ending January 26, 2019"	"2019/04"	57429	Not Applicable	Not Applicable
	"2019 Week 05 ending February 02, 2019"	"2019/05"	57692	Not Applicable	Not Applicable
	"2019 Week 06 ending February 09, 2019"	"2019/06"	57987	Not Applicable	Not Applicable
	"2019 Week 07 ending February 16, 2019"	"2019/07"	57480	Not Applicable	Not Applicable
	"2019 Week 08 ending February 23, 2019"	"2019/08"	57547	Not Applicable	Not Applicable
	"2019 Week 09 ending March 02, 2019"	"2019/09"	57453	Not Applicable	Not Applicable
	"2019 Week 10 ending March 09, 2019"	"2019/10"	58045	Not Applicable	Not Applicable
	"2019 Week 11 ending March 16, 2019"	"2019/11"	57399	Not Applicable	Not Applicable
	"2019 Week 12 ending March 23, 2019"	"2019/12"	56612	Not Applicable	Not Applicable
	"2019 Week 13 ending March 30, 2019"	"2019/13"	56162	Not Applicable	Not Applicable
	"2019 Week 14 ending April 06, 2019"	"2019/14"	56104	Not Applicable	Not Applicable
	"2019 Week 15 ending April 13, 2019"	"2019/15"	54944	Not Applicable	Not Applicable
	"2019 Week 16 ending April 20, 2019"	"2019/16"	53961	Not Applicable	Not Applicable
	"2019 Week 17 ending April 27, 2019"	"2019/17"	53170	Not Applicable	Not Applicable
	"2019 Week 18 ending May 04, 2019"	"2019/18"	53471	Not Applicable	Not Applicable
	"2019 Week 19 ending May 11, 2019"	"2019/19"	53010	Not Applicable	Not Applicable
	"2019 Week 20 ending May 18, 2019"	"2019/20"	53062	Not Applicable	Not Applicable
	"2019 Week 21 ending May 25, 2019"	"2019/21"	53219	Not Applicable	Not Applicable
	"2019 Week 22 ending June 01, 2019"	"2019/22"	52146	Not Applicable	Not Applicable
	"2019 Week 23 ending June 08, 2019"	"2019/23"	52582	Not Applicable	Not Applicable
	"2019 Week 24 ending June 15, 2019"	"2019/24"	52138	Not Applicable	Not Applicable
	"2019 Week 25 ending June 22, 2019"	"2019/25"	51741	Not Applicable	Not Applicable
	"2019 Week 26 ending June 29, 2019"	"2019/26"	51709	Not Applicable	Not Applicable
	"2019 Week 27 ending July 06, 2019"	"2019/27"	51748	Not Applicable	Not Applicable
	"2019 Week 28 ending July 13, 2019"	"2019/28"	51397	Not Applicable	Not Applicable
	"2019 Week 29 ending July 20, 2019"	"2019/29"	51138	Not Applicable	Not Applicable
	"2019 Week 30 ending July 27, 2019"	"2019/30"	51104	Not Applicable	Not Applicable
	"2019 Week 31 ending August 03, 2019"	"2019/31"	50873	Not Applicable	Not Applicable
	"2019 Week 32 ending August 10, 2019"	"2019/32"	51144	Not Applicable	Not Applicable
	"2019 Week 33 ending August 17, 2019"	"2019/33"	50540	Not Applicable	Not Applicable
	"2019 Week 34 ending August 24, 2019"	"2019/34"	50445	Not Applicable	Not Applicable
	"2019 Week 35 ending August 31, 2019"	"2019/35"	50636	Not Applicable	Not Applicable
	"2019 Week 36 ending September 07, 2019"	"2019/36"	51273	Not Applicable	Not Applicable
	"2019 Week 37 ending September 14, 2019"	"2019/37"	51130	Not Applicable	Not Applicable
