"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	55864	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	66065	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	63306	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	61462	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	59710	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	59787	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	58433	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	56533	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	55439	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	55796	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	55061	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	54546	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	53643	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	53977	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	53958	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	52819	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	52558	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	52515	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	50856	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	49468	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	49741	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	49785	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	50763	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	50230	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	49818	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	49591	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	50448	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	49887	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	49383	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	49068	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	49417	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	49642	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	49076	Not Applicable	Not Applicable
	"2018 Week 34 ending August 25, 2018"	"2018/34"	49261	Not Applicable	Not Applicable
	"2018 Week 35 ending September 01, 2018"	"2018/35"	49443	Not Applicable	Not Applicable
	"2018 Week 36 ending September 08, 2018"	"2018/36"	49036	Not Applicable	Not Applicable
	"2018 Week 37 ending September 15, 2018"	"2018/37"	49847	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	50378	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	49788	Not Applicable	Not Applicable
	"2018 Week 40 ending October 06, 2018"	"2018/40"	51177	Not Applicable	Not Applicable
	"2018 Week 41 ending October 13, 2018"	"2018/41"	50632	Not Applicable	Not Applicable
	"2018 Week 42 ending October 20, 2018"	"2018/42"	51806	Not Applicable	Not Applicable
