"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",160963,21940985,733.6
,"2019","2019",158453,21877391,724.3
,"2020","2020",183228,21603099,848.2
,"2021","2021",197608,21567314,916.2
"Total",,,700252,86988789,805.0
