"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",330903,Not Applicable,Not Applicable
,"2000","2000",335813,Not Applicable,Not Applicable
,"2001","2001",339775,Not Applicable,Not Applicable
,"2002","2002",345385,Not Applicable,Not Applicable
,"2003","2003",346847,Not Applicable,Not Applicable
,"2004","2004",338140,Not Applicable,Not Applicable
,"2005","2005",351398,Not Applicable,Not Applicable
,"2006","2006",352112,Not Applicable,Not Applicable
,"2007","2007",359224,Not Applicable,Not Applicable
,"2008","2008",372552,Not Applicable,Not Applicable
,"2009","2009",369132,Not Applicable,Not Applicable
,"2010","2010",379437,Not Applicable,Not Applicable
,"2011","2011",383912,Not Applicable,Not Applicable
,"2012","2012",384262,Not Applicable,Not Applicable
,"2013","2013",389258,Not Applicable,Not Applicable
,"2014","2014",381539,Not Applicable,Not Applicable
,"2015","2015",390747,Not Applicable,Not Applicable
,"2016","2016",384479,Not Applicable,Not Applicable
,"2017","2017",388121,Not Applicable,Not Applicable
,"2018","2018",385116,Not Applicable,Not Applicable
,"2019","2019",378916,Not Applicable,Not Applicable
,"2020 ","2020",439251,Not Applicable,Not Applicable
"Total",,,8126319,Not Applicable,Not Applicable
