"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018","2018","Alabama","01",4654,318368,1461.8
,"2018","2018","Alaska","02",442,45356,974.5
,"2018","2018","Arizona","04",4224,424192,995.8
,"2018","2018","Arkansas","05",2702,186304,1450.3
,"2018","2018","California","06",19484,2262416,861.2
,"2018","2018","Colorado","08",2832,343324,824.9
,"2018","2018","Connecticut","09",1969,242338,812.5
,"2018","2018","Delaware","10",616,66846,921.5
,"2018","2018","District of Columbia","11",515,33626,1531.6
,"2018","2018","Florida","12",14804,1384021,1069.6
,"2018","2018","Georgia","13",7218,603335,1196.4
,"2018","2018","Hawaii","15",821,89920,913.0
,"2018","2018","Idaho","16",1026,106242,965.7
,"2018","2018","Illinois","17",8307,797589,1041.5
,"2018","2018","Indiana","18",5262,422364,1245.8
,"2018","2018","Iowa","19",1997,203630,980.7
,"2018","2018","Kansas","20",2028,181736,1115.9
,"2018","2018","Kentucky","21",4167,289464,1439.6
,"2018","2018","Louisiana","22",4059,293933,1380.9
,"2018","2018","Maine","23",1014,104829,967.3
,"2018","2018","Maryland","24",3829,380421,1006.5
,"2018","2018","Massachusetts","25",3694,446693,827.0
,"2018","2018","Michigan","26",7572,686526,1102.9
,"2018","2018","Minnesota","27",2901,359523,806.9
,"2018","2018","Mississippi","28",2967,187195,1585.0
,"2018","2018","Missouri","29",4915,399255,1231.0
,"2018","2018","Montana","30",753,76864,979.7
,"2018","2018","Nebraska","31",1125,117501,957.4
,"2018","2018","Nevada","32",2122,182280,1164.1
,"2018","2018","New Hampshire","33",911,101594,896.7
,"2018","2018","New Jersey","34",4938,572558,862.4
,"2018","2018","New Mexico","35",1454,134883,1078.0
,"2018","2018","New York","36",10527,1235928,851.7
,"2018","2018","North Carolina","37",7448,647013,1151.1
,"2018","2018","North Dakota","38",430,46348,927.8
,"2018","2018","Ohio","39",9499,790146,1202.2
,"2018","2018","Oklahoma","40",3479,238418,1459.2
,"2018","2018","Oregon","41",2651,274456,965.9
,"2018","2018","Pennsylvania","42",9168,888010,1032.4
,"2018","2018","Rhode Island","44",650,72184,900.5
,"2018","2018","South Carolina","45",4269,333544,1279.9
,"2018","2018","South Dakota","46",535,57950,923.2
,"2018","2018","Tennessee","47",6040,429637,1405.8
,"2018","2018","Texas","48",16848,1521389,1107.4
,"2018","2018","Utah","49",1204,144798,831.5
,"2018","2018","Vermont","50",374,47792,782.6
,"2018","2018","Virginia","51",5272,523830,1006.4
,"2018","2018","Washington","53",4253,469195,906.4
,"2018","2018","West Virginia","54",1932,130612,1479.2
,"2018","2018","Wisconsin","55",3589,394820,909.0
,"2018","2018","Wyoming","56",383,40455,946.7
"Total","2018","2018",,,213873,20331651,1051.9
,"2019","2019","Alabama","01",4585,321347,1426.8
,"2019","2019","Alaska","02",436,45117,966.4
,"2019","2019","Arizona","04",4249,434063,978.9
,"2019","2019","Arkansas","05",2819,187973,1499.7
,"2019","2019","California","06",19572,2277858,859.2
,"2019","2019","Colorado","08",2966,348036,852.2
,"2019","2019","Connecticut","09",2057,245488,837.9
,"2019","2019","Delaware","10",685,68415,1001.2
,"2019","2019","District of Columbia","11",483,33248,1452.7
,"2019","2019","Florida","12",14923,1408845,1059.2
,"2019","2019","Georgia","13",7611,616126,1235.3
