"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2019 Week 25 ending June 22, 2019","2019/25",805,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26",834,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27",797,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28",778,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29",805,Not Applicable,Not Applicable
,"2019 Week 30 ending July 27, 2019","2019/30",794,Not Applicable,Not Applicable
,"2019 Week 31 ending August 03, 2019","2019/31",774,Not Applicable,Not Applicable
,"2019 Week 32 ending August 10, 2019","2019/32",754,Not Applicable,Not Applicable
,"2019 Week 33 ending August 17, 2019","2019/33",774,Not Applicable,Not Applicable
,"2019 Week 34 ending August 24, 2019","2019/34",766,Not Applicable,Not Applicable
,"2019 Week 35 ending August 31, 2019","2019/35",754,Not Applicable,Not Applicable
,"2019 Week 36 ending September 07, 2019","2019/36",795,Not Applicable,Not Applicable
,"2019 Week 37 ending September 14, 2019","2019/37",759,Not Applicable,Not Applicable
,"2019 Week 38 ending September 21, 2019","2019/38",793,Not Applicable,Not Applicable
,"2019 Week 39 ending September 28, 2019","2019/39",734,Not Applicable,Not Applicable
,"2019 Week 40 ending October 05, 2019","2019/40",764,Not Applicable,Not Applicable
,"2019 Week 41 ending October 12, 2019","2019/41",747,Not Applicable,Not Applicable
,"2019 Week 42 ending October 19, 2019","2019/42",767,Not Applicable,Not Applicable
,"2019 Week 43 ending October 26, 2019","2019/43",752,Not Applicable,Not Applicable
,"2019 Week 44 ending November 02, 2019","2019/44",692,Not Applicable,Not Applicable
,"2019 Week 45 ending November 09, 2019","2019/45",728,Not Applicable,Not Applicable
,"2019 Week 46 ending November 16, 2019","2019/46",788,Not Applicable,Not Applicable
,"2019 Week 47 ending November 23, 2019","2019/47",771,Not Applicable,Not Applicable
,"2019 Week 48 ending November 30, 2019","2019/48",766,Not Applicable,Not Applicable
,"2019 Week 49 ending December 07, 2019","2019/49",750,Not Applicable,Not Applicable
,"2019 Week 50 ending December 14, 2019","2019/50",777,Not Applicable,Not Applicable
,"2019 Week 51 ending December 21, 2019","2019/51",767,Not Applicable,Not Applicable
,"2019 Week 52 ending December 28, 2019","2019/52",816,Not Applicable,Not Applicable
,"2019 Week Not Available","2019/99",0,Not Applicable,Not Applicable
,"2020 Week 01 ending January 04, 2020","2020/01",782,Not Applicable,Not Applicable
,"2020 Week 02 ending January 11, 2020","2020/02",792,Not Applicable,Not Applicable
,"2020 Week 03 ending January 18, 2020","2020/03",809,Not Applicable,Not Applicable
,"2020 Week 04 ending January 25, 2020","2020/04",778,Not Applicable,Not Applicable
,"2020 Week 05 ending February 01, 2020","2020/05",780,Not Applicable,Not Applicable
,"2020 Week 06 ending February 08, 2020","2020/06",831,Not Applicable,Not Applicable
,"2020 Week 07 ending February 15, 2020","2020/07",783,Not Applicable,Not Applicable
,"2020 Week 08 ending February 22, 2020","2020/08",749,Not Applicable,Not Applicable
,"2020 Week 09 ending February 29, 2020","2020/09",814,Not Applicable,Not Applicable
,"2020 Week 10 ending March 07, 2020","2020/10",711,Not Applicable,Not Applicable
,"2020 Week 11 ending March 14, 2020","2020/11",763,Not Applicable,Not Applicable
,"2020 Week 12 ending March 21, 2020","2020/12",766,Not Applicable,Not Applicable
,"2020 Week 13 ending March 28, 2020","2020/13",727,Not Applicable,Not Applicable
,"2020 Week 14 ending April 04, 2020","2020/14",672,Not Applicable,Not Applicable
,"2020 Week 15 ending April 11, 2020","2020/15",773,Not Applicable,Not Applicable
,"2020 Week 16 ending April 18, 2020","2020/16",680,Not Applicable,Not Applicable
,"2020 Week 17 ending April 25, 2020","2020/17",769,Not Applicable,Not Applicable
,"2020 Week 18 ending May 02, 2020","2020/18",726,Not Applicable,Not Applicable
,"2020 Week 19 ending May 09, 2020","2020/19",802,Not Applicable,Not Applicable
,"2020 Week 20 ending May 16, 2020","2020/20",781,Not Applicable,Not Applicable
,"2020 Week 21 ending May 23, 2020","2020/21",815,Not Applicable,Not Applicable
,"2020 Week 22 ending May 30, 2020","2020/22",794,Not Applicable,Not Applicable
