"Notes","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate
,"2018","2018","Alabama","01",974,665234,146.4
,"2018","2018","Alaska","02",148,114672,129.1
,"2018","2018","Arizona","04",1271,1010156,125.8
,"2018","2018","Arkansas","05",504,408135,123.5
,"2018","2018","California","06",4458,5837616,76.4
,"2018","2018","Colorado","08",816,832421,98.0
,"2018","2018","Connecticut","09",431,466039,92.5
,"2018","2018","Delaware","10",180,125329,143.6
,"2018","2018","District of Columbia","11",138,136020,101.5
,"2018","2018","Florida","12",3055,2706300,112.9
,"2018","2018","Georgia","13",1598,1484397,107.7
,"2018","2018","Hawaii","15",145,194928,74.4
,"2018","2018","Idaho","16",266,234070,113.6
,"2018","2018","Illinois","17",1857,1751282,106.0
,"2018","2018","Indiana","18",1117,930073,120.1
,"2018","2018","Iowa","19",340,432064,78.7
,"2018","2018","Kansas","20",438,408055,107.3
,"2018","2018","Kentucky","21",796,611856,130.1
,"2018","2018","Louisiana","22",915,653127,140.1
,"2018","2018","Maine","23",170,155665,109.2
,"2018","2018","Maryland","24",1008,794984,126.8
,"2018","2018","Massachusetts","25",889,1001927,88.7
,"2018","2018","Michigan","26",1564,1389081,112.6
,"2018","2018","Minnesota","27",577,736599,78.3
,"2018","2018","Mississippi","28",578,416172,138.9
,"2018","2018","Missouri","29",1241,835796,148.5
,"2018","2018","Montana","30",181,143633,126.0
,"2018","2018","Nebraska","31",195,265655,73.4
,"2018","2018","Nevada","32",406,409528,99.1
,"2018","2018","New Hampshire","33",192,175526,109.4
,"2018","2018","New Jersey","34",1222,1134083,107.8
,"2018","2018","New Mexico","35",456,287234,158.8
,"2018","2018","New York","36",2098,2787915,75.3
,"2018","2018","North Carolina","37",1678,1426433,117.6
,"2018","2018","North Dakota","38",134,124732,107.4
,"2018","2018","Ohio","39",1997,1565788,127.5
,"2018","2018","Oklahoma","40",637,554539,114.9
,"2018","2018","Oregon","41",470,568517,82.7
,"2018","2018","Pennsylvania","42",2171,1685797,128.8
,"2018","2018","Rhode Island","44",113,152985,73.9
,"2018","2018","South Carolina","45",954,686525,139.0
,"2018","2018","South Dakota","46",131,118339,110.7
,"2018","2018","Tennessee","47",1239,938121,132.1
,"2018","2018","Texas","48",3768,4158350,90.6
,"2018","2018","Utah","49",431,508137,84.8
,"2018","2018","Vermont","50",86,83726,102.7
,"2018","2018","Virginia","51",1081,1182998,91.4
,"2018","2018","Washington","53",900,1070867,84.0
,"2018","2018","West Virginia","54",368,226708,162.3
,"2018","2018","Wisconsin","55",761,770356,98.8
,"2018","2018","Wyoming","56",92,76845,119.7
"Total","2018","2018",,,47235,45435335,104.0
,"2019","2019","Alabama","01",886,660230,134.2
,"2019","2019","Alaska","02",176,111710,157.6
,"2019","2019","Arizona","04",1271,1021361,124.4
,"2019","2019","Arkansas","05",490,405786,120.8
,"2019","2019","California","06",4628,5742257,80.6
,"2019","2019","Colorado","08",876,838925,104.4
,"2019","2019","Connecticut","09",422,465388,90.7
,"2019","2019","Delaware","10",166,122465,135.5
,"2019","2019","District of Columbia","11",138,133911,103.1
,"2019","2019","Florida","12",3072,2677938,114.7
,"2019","2019","Georgia","13",1566,1488964,105.2
,"2019","2019","Hawaii","15",127,190514,66.7
,"2019","2019","Idaho","16",217,238065,91.2
,"2019","2019","Illinois","17",1714,1727207,99.2
,"2019","2019","Indiana","18",1129,937107,120.5
,"2019","2019","Iowa","19",362,430266,84.1
,"2019","2019","Kansas","20",400,408540,97.9
,"2019","2019","Kentucky","21",711,607361,117.1
,"2019","2019","Louisiana","22",871,638653,136.4
,"2019","2019","Maine","23",162,155660,104.1
,"2019","2019","Maryland","24",1007,783259,128.6
,"2019","2019","Massachusetts","25",811,989796,81.9
,"2019","2019","Michigan","26",1485,1379577,107.6
,"2019","2019","Minnesota","27",645,734716,87.8
,"2019","2019","Mississippi","28",615,408506,150.5
,"2019","2019","Missouri","29",1127,830212,135.7
,"2019","2019","Montana","30",145,143613,101.0
,"2019","2019","Nebraska","31",218,265260,82.2
,"2019","2019","Nevada","32",412,411954,100.0
,"2019","2019","New Hampshire","33",198,175301,112.9
,"2019","2019","New Jersey","34",1078,1119963,96.3
,"2019","2019","New Mexico","35",498,285635,174.3
,"2019","2019","New York","36",2076,2734850,75.9
,"2019","2019","North Carolina","37",1740,1432441,121.5
,"2019","2019","North Dakota","38",96,122502,78.4
,"2019","2019","Ohio","39",2004,1553081,129.0
,"2019","2019","Oklahoma","40",597,554630,107.6
,"2019","2019","Oregon","41",467,568635,82.1
,"2019","2019","Pennsylvania","42",1962,1660602,118.1
,"2019","2019","Rhode Island","44",108,151246,71.4
,"2019","2019","South Carolina","45",950,684014,138.9
,"2019","2019","South Dakota","46",133,116916,113.8
,"2019","2019","Tennessee","47",1291,942211,137.0
,"2019","2019","Texas","48",3863,4174822,92.5
,"2019","2019","Utah","49",412,516028,79.8
,"2019","2019","Vermont","50",70,83386,83.9
,"2019","2019","Virginia","51",1107,1173545,94.3
,"2019","2019","Washington","53",857,1073859,79.8
,"2019","2019","West Virginia","54",355,222748,159.4
,"2019","2019","Wisconsin","55",689,770216,89.5
,"2019","2019","Wyoming","56",82,76124,107.7
