"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",614277,22672489,2709.3
,"2019","2019",630640,23681097,2663.1
,"2020","2020",766310,24662564,3107.2
,"2021","2021",802149,25176571,3186.1
"Total",,,2813376,96192721,2924.7
