"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	32141	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	29136	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	31598	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	25632	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	24203	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	22160	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	22975	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	22628	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	22930	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	25582	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	25601	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	30652	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			315238	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	36494	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	28287	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	26755	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	24738	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	24888	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	23133	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	23935	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	23998	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	24676	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	27179	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	27045	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	31230	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			322358	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	32247	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	27671	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	30165	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	27316	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	26550	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	25324	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	24813	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	24304	Not Applicable	Not Applicable
	"2001"	"2001"	"Sep., 2001"	"2001/09"	24499	Not Applicable	Not Applicable
	"2001"	"2001"	"Oct., 2001"	"2001/10"	27305	Not Applicable	Not Applicable
	"2001"	"2001"	"Nov., 2001"	"2001/11"	26784	Not Applicable	Not Applicable
	"2001"	"2001"	"Dec., 2001"	"2001/12"	28778	Not Applicable	Not Applicable
"Total"	"2001"	"2001"			325756	Not Applicable	Not Applicable
	"2002"	"2002"	"Jan., 2002"	"2002/01"	32426	Not Applicable	Not Applicable
	"2002"	"2002"	"Feb., 2002"	"2002/02"	30349	Not Applicable	Not Applicable
	"2002"	"2002"	"Mar., 2002"	"2002/03"	32521	Not Applicable	Not Applicable
	"2002"	"2002"	"Apr., 2002"	"2002/04"	27385	Not Applicable	Not Applicable
	"2002"	"2002"	"May, 2002"	"2002/05"	26284	Not Applicable	Not Applicable
	"2002"	"2002"	"Jun., 2002"	"2002/06"	24474	Not Applicable	Not Applicable
	"2002"	"2002"	"Jul., 2002"	"2002/07"	24843	Not Applicable	Not Applicable
	"2002"	"2002"	"Aug., 2002"	"2002/08"	25005	Not Applicable	Not Applicable
	"2002"	"2002"	"Sep., 2002"	"2002/09"	24924	Not Applicable	Not Applicable
	"2002"	"2002"	"Oct., 2002"	"2002/10"	27513	Not Applicable	Not Applicable
	"2002"	"2002"	"Nov., 2002"	"2002/11"	28138	Not Applicable	Not Applicable
	"2002"	"2002"	"Dec., 2002"	"2002/12"	31829	Not Applicable	Not Applicable
"Total"	"2002"	"2002"			335691	Not Applicable	Not Applicable
	"2003"	"2003"	"Jan., 2003"	"2003/01"	33011	Not Applicable	Not Applicable
	"2003"	"2003"	"Feb., 2003"	"2003/02"	28915	Not Applicable	Not Applicable
	"2003"	"2003"	"Mar., 2003"	"2003/03"	30004	Not Applicable	Not Applicable
	"2003"	"2003"	"Apr., 2003"	"2003/04"	27579	Not Applicable	Not Applicable
	"2003"	"2003"	"May, 2003"	"2003/05"	26651	Not Applicable	Not Applicable
	"2003"	"2003"	"Jun., 2003"	"2003/06"	25521	Not Applicable	Not Applicable
	"2003"	"2003"	"Jul., 2003"	"2003/07"	25413	Not Applicable	Not Applicable
	"2003"	"2003"	"Aug., 2003"	"2003/08"	25537	Not Applicable	Not Applicable
	"2003"	"2003"	"Sep., 2003"	"2003/09"	25297	Not Applicable	Not Applicable
	"2003"	"2003"	"Oct., 2003"	"2003/10"	28194	Not Applicable	Not Applicable
	"2003"	"2003"	"Nov., 2003"	"2003/11"	28359	Not Applicable	Not Applicable
	"2003"	"2003"	"Dec., 2003"	"2003/12"	36524	Not Applicable	Not Applicable
"Total"	"2003"	"2003"			341005	Not Applicable	Not Applicable
	"2004"	"2004"	"Jan., 2004"	"2004/01"	36444	Not Applicable	Not Applicable
	"2004"	"2004"	"Feb., 2004"	"2004/02"	29280	Not Applicable	Not Applicable
	"2004"	"2004"	"Mar., 2004"	"2004/03"	29124	Not Applicable	Not Applicable
	"2004"	"2004"	"Apr., 2004"	"2004/04"	26924	Not Applicable	Not Applicable
	"2004"	"2004"	"May, 2004"	"2004/05"	26108	Not Applicable	Not Applicable
	"2004"	"2004"	"Jun., 2004"	"2004/06"	24785	Not Applicable	Not Applicable
	"2004"	"2004"	"Jul., 2004"	"2004/07"	25306	Not Applicable	Not Applicable
	"2004"	"2004"	"Aug., 2004"	"2004/08"	25145	Not Applicable	Not Applicable
	"2004"	"2004"	"Sep., 2004"	"2004/09"	24972	Not Applicable	Not Applicable
	"2004"	"2004"	"Oct., 2004"	"2004/10"	27545	Not Applicable	Not Applicable
	"2004"	"2004"	"Nov., 2004"	"2004/11"	27353	Not Applicable	Not Applicable
	"2004"	"2004"	"Dec., 2004"	"2004/12"	30647	Not Applicable	Not Applicable
"Total"	"2004"	"2004"			333633	Not Applicable	Not Applicable
	"2005"	"2005"	"Jan., 2005"	"2005/01"	34306	Not Applicable	Not Applicable
	"2005"	"2005"	"Feb., 2005"	"2005/02"	33089	Not Applicable	Not Applicable
	"2005"	"2005"	"Mar., 2005"	"2005/03"	35665	Not Applicable	Not Applicable
	"2005"	"2005"	"Apr., 2005"	"2005/04"	29659	Not Applicable	Not Applicable
	"2005"	"2005"	"May, 2005"	"2005/05"	27970	Not Applicable	Not Applicable
	"2005"	"2005"	"Jun., 2005"	"2005/06"	25142	Not Applicable	Not Applicable
	"2005"	"2005"	"Jul., 2005"	"2005/07"	25772	Not Applicable	Not Applicable
	"2005"	"2005"	"Aug., 2005"	"2005/08"	25918	Not Applicable	Not Applicable
	"2005"	"2005"	"Sep., 2005"	"2005/09"	25531	Not Applicable	Not Applicable
	"2005"	"2005"	"Oct., 2005"	"2005/10"	28134	Not Applicable	Not Applicable
	"2005"	"2005"	"Nov., 2005"	"2005/11"	28313	Not Applicable	Not Applicable
	"2005"	"2005"	"Dec., 2005"	"2005/12"	32272	Not Applicable	Not Applicable
"Total"	"2005"	"2005"			351771	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	32824	Not Applicable	Not Applicable
	"2006"	"2006"	"Feb., 2006"	"2006/02"	29878	Not Applicable	Not Applicable
	"2006"	"2006"	"Mar., 2006"	"2006/03"	33576	Not Applicable	Not Applicable
	"2006"	"2006"	"Apr., 2006"	"2006/04"	29287	Not Applicable	Not Applicable
	"2006"	"2006"	"May, 2006"	"2006/05"	27934	Not Applicable	Not Applicable
	"2006"	"2006"	"Jun., 2006"	"2006/06"	26010	Not Applicable	Not Applicable
	"2006"	"2006"	"Jul., 2006"	"2006/07"	26951	Not Applicable	Not Applicable
	"2006"	"2006"	"Aug., 2006"	"2006/08"	26581	Not Applicable	Not Applicable
	"2006"	"2006"	"Sep., 2006"	"2006/09"	26554	Not Applicable	Not Applicable
	"2006"	"2006"	"Oct., 2006"	"2006/10"	29305	Not Applicable	Not Applicable
	"2006"	"2006"	"Nov., 2006"	"2006/11"	29074	Not Applicable	Not Applicable
	"2006"	"2006"	"Dec., 2006"	"2006/12"	31906	Not Applicable	Not Applicable
"Total"	"2006"	"2006"			349880	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	33755	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	31118	Not Applicable	Not Applicable
	"2007"	"2007"	"Mar., 2007"	"2007/03"	32996	Not Applicable	Not Applicable
	"2007"	"2007"	"Apr., 2007"	"2007/04"	30054	Not Applicable	Not Applicable
	"2007"	"2007"	"May, 2007"	"2007/05"	28445	Not Applicable	Not Applicable
	"2007"	"2007"	"Jun., 2007"	"2007/06"	26161	Not Applicable	Not Applicable
	"2007"	"2007"	"Jul., 2007"	"2007/07"	26713	Not Applicable	Not Applicable
	"2007"	"2007"	"Aug., 2007"	"2007/08"	26594	Not Applicable	Not Applicable
	"2007"	"2007"	"Sep., 2007"	"2007/09"	27088	Not Applicable	Not Applicable
	"2007"	"2007"	"Oct., 2007"	"2007/10"	28921	Not Applicable	Not Applicable
	"2007"	"2007"	"Nov., 2007"	"2007/11"	29733	Not Applicable	Not Applicable
	"2007"	"2007"	"Dec., 2007"	"2007/12"	32845	Not Applicable	Not Applicable
"Total"	"2007"	"2007"			354423	Not Applicable	Not Applicable
	"2008"	"2008"	"Jan., 2008"	"2008/01"	34639	Not Applicable	Not Applicable
	"2008"	"2008"	"Feb., 2008"	"2008/02"	35770	Not Applicable	Not Applicable
	"2008"	"2008"	"Mar., 2008"	"2008/03"	38098	Not Applicable	Not Applicable
	"2008"	"2008"	"Apr., 2008"	"2008/04"	31691	Not Applicable	Not Applicable
	"2008"	"2008"	"May, 2008"	"2008/05"	29688	Not Applicable	Not Applicable
	"2008"	"2008"	"Jun., 2008"	"2008/06"	27100	Not Applicable	Not Applicable
	"2008"	"2008"	"Jul., 2008"	"2008/07"	27302	Not Applicable	Not Applicable
	"2008"	"2008"	"Aug., 2008"	"2008/08"	27274	Not Applicable	Not Applicable
	"2008"	"2008"	"Sep., 2008"	"2008/09"	26927	Not Applicable	Not Applicable
