"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2018 Week 01 ending January 06, 2018"	"2018/01"	2104	Not Applicable	Not Applicable
	"2018 Week 02 ending January 13, 2018"	"2018/02"	2294	Not Applicable	Not Applicable
	"2018 Week 03 ending January 20, 2018"	"2018/03"	2202	Not Applicable	Not Applicable
	"2018 Week 04 ending January 27, 2018"	"2018/04"	2292	Not Applicable	Not Applicable
	"2018 Week 05 ending February 03, 2018"	"2018/05"	2281	Not Applicable	Not Applicable
	"2018 Week 06 ending February 10, 2018"	"2018/06"	2221	Not Applicable	Not Applicable
	"2018 Week 07 ending February 17, 2018"	"2018/07"	2118	Not Applicable	Not Applicable
	"2018 Week 08 ending February 24, 2018"	"2018/08"	2161	Not Applicable	Not Applicable
	"2018 Week 09 ending March 03, 2018"	"2018/09"	2294	Not Applicable	Not Applicable
	"2018 Week 10 ending March 10, 2018"	"2018/10"	2175	Not Applicable	Not Applicable
	"2018 Week 11 ending March 17, 2018"	"2018/11"	2189	Not Applicable	Not Applicable
	"2018 Week 12 ending March 24, 2018"	"2018/12"	2148	Not Applicable	Not Applicable
	"2018 Week 13 ending March 31, 2018"	"2018/13"	2108	Not Applicable	Not Applicable
	"2018 Week 14 ending April 07, 2018"	"2018/14"	2237	Not Applicable	Not Applicable
	"2018 Week 15 ending April 14, 2018"	"2018/15"	2162	Not Applicable	Not Applicable
	"2018 Week 16 ending April 21, 2018"	"2018/16"	2125	Not Applicable	Not Applicable
	"2018 Week 17 ending April 28, 2018"	"2018/17"	2156	Not Applicable	Not Applicable
	"2018 Week 18 ending May 05, 2018"	"2018/18"	2283	Not Applicable	Not Applicable
	"2018 Week 19 ending May 12, 2018"	"2018/19"	2314	Not Applicable	Not Applicable
	"2018 Week 20 ending May 19, 2018"	"2018/20"	2140	Not Applicable	Not Applicable
	"2018 Week 21 ending May 26, 2018"	"2018/21"	2204	Not Applicable	Not Applicable
	"2018 Week 22 ending June 02, 2018"	"2018/22"	2311	Not Applicable	Not Applicable
	"2018 Week 23 ending June 09, 2018"	"2018/23"	2352	Not Applicable	Not Applicable
	"2018 Week 24 ending June 16, 2018"	"2018/24"	2318	Not Applicable	Not Applicable
	"2018 Week 25 ending June 23, 2018"	"2018/25"	2267	Not Applicable	Not Applicable
	"2018 Week 26 ending June 30, 2018"	"2018/26"	2330	Not Applicable	Not Applicable
	"2018 Week 27 ending July 07, 2018"	"2018/27"	2411	Not Applicable	Not Applicable
	"2018 Week 28 ending July 14, 2018"	"2018/28"	2327	Not Applicable	Not Applicable
	"2018 Week 29 ending July 21, 2018"	"2018/29"	2272	Not Applicable	Not Applicable
	"2018 Week 30 ending July 28, 2018"	"2018/30"	2320	Not Applicable	Not Applicable
	"2018 Week 31 ending August 04, 2018"	"2018/31"	2246	Not Applicable	Not Applicable
	"2018 Week 32 ending August 11, 2018"	"2018/32"	2329	Not Applicable	Not Applicable
	"2018 Week 33 ending August 18, 2018"	"2018/33"	2194	Not Applicable	Not Applicable
	"2018 Week 34 ending August 25, 2018"	"2018/34"	2217	Not Applicable	Not Applicable
	"2018 Week 35 ending September 01, 2018"	"2018/35"	2263	Not Applicable	Not Applicable
	"2018 Week 36 ending September 08, 2018"	"2018/36"	2348	Not Applicable	Not Applicable
	"2018 Week 37 ending September 15, 2018"	"2018/37"	2252	Not Applicable	Not Applicable
	"2018 Week 38 ending September 22, 2018"	"2018/38"	2264	Not Applicable	Not Applicable
	"2018 Week 39 ending September 29, 2018"	"2018/39"	2143	Not Applicable	Not Applicable
	"2018 Week 40 ending October 06, 2018"	"2018/40"	2223	Not Applicable	Not Applicable
	"2018 Week 41 ending October 13, 2018"	"2018/41"	2195	Not Applicable	Not Applicable
	"2018 Week 42 ending October 20, 2018"	"2018/42"	2182	Not Applicable	Not Applicable
	"2018 Week 43 ending October 27, 2018"	"2018/43"	2183	Not Applicable	Not Applicable
	"2018 Week 44 ending November 03, 2018"	"2018/44"	2281	Not Applicable	Not Applicable
	"2018 Week 45 ending November 10, 2018"	"2018/45"	2158	Not Applicable	Not Applicable
	"2018 Week 46 ending November 17, 2018"	"2018/46"	2180	Not Applicable	Not Applicable
	"2018 Week 47 ending November 24, 2018"	"2018/47"	2200	Not Applicable	Not Applicable
	"2018 Week 48 ending December 01, 2018"	"2018/48"	1994	Not Applicable	Not Applicable
	"2018 Week 49 ending December 08, 2018"	"2018/49"	2163	Not Applicable	Not Applicable
	"2018 Week 50 ending December 15, 2018"	"2018/50"	2142	Not Applicable	Not Applicable
	"2018 Week 51 ending December 22, 2018"	"2018/51"	2154	Not Applicable	Not Applicable
	"2018 Week 52 ending December 29, 2018"	"2018/52"	2156	Not Applicable	Not Applicable
	"2018 Week Not Available"	"2018/99"	22	Not Applicable	Not Applicable
	"2019 Week 01 ending January 05, 2019"	"2019/01"	2270	Not Applicable	Not Applicable
	"2019 Week 02 ending January 12, 2019"	"2019/02"	2167	Not Applicable	Not Applicable
	"2019 Week 03 ending January 19, 2019"	"2019/03"	2113	Not Applicable	Not Applicable
	"2019 Week 04 ending January 26, 2019"	"2019/04"	2078	Not Applicable	Not Applicable
	"2019 Week 05 ending February 02, 2019"	"2019/05"	2005	Not Applicable	Not Applicable
	"2019 Week 06 ending February 09, 2019"	"2019/06"	2197	Not Applicable	Not Applicable
	"2019 Week 07 ending February 16, 2019"	"2019/07"	2122	Not Applicable	Not Applicable
	"2019 Week 08 ending February 23, 2019"	"2019/08"	2084	Not Applicable	Not Applicable
	"2019 Week 09 ending March 02, 2019"	"2019/09"	2245	Not Applicable	Not Applicable
	"2019 Week 10 ending March 09, 2019"	"2019/10"	2220	Not Applicable	Not Applicable
	"2019 Week 11 ending March 16, 2019"	"2019/11"	2239	Not Applicable	Not Applicable
	"2019 Week 12 ending March 23, 2019"	"2019/12"	2089	Not Applicable	Not Applicable
	"2019 Week 13 ending March 30, 2019"	"2019/13"	2181	Not Applicable	Not Applicable
	"2019 Week 14 ending April 06, 2019"	"2019/14"	2232	Not Applicable	Not Applicable
	"2019 Week 15 ending April 13, 2019"	"2019/15"	2228	Not Applicable	Not Applicable
	"2019 Week 16 ending April 20, 2019"	"2019/16"	2127	Not Applicable	Not Applicable
	"2019 Week 17 ending April 27, 2019"	"2019/17"	2176	Not Applicable	Not Applicable
	"2019 Week 18 ending May 04, 2019"	"2019/18"	2300	Not Applicable	Not Applicable
	"2019 Week 19 ending May 11, 2019"	"2019/19"	2189	Not Applicable	Not Applicable
	"2019 Week 20 ending May 18, 2019"	"2019/20"	2180	Not Applicable	Not Applicable
	"2019 Week 21 ending May 25, 2019"	"2019/21"	2201	Not Applicable	Not Applicable
	"2019 Week 22 ending June 01, 2019"	"2019/22"	2394	Not Applicable	Not Applicable
	"2019 Week 23 ending June 08, 2019"	"2019/23"	2317	Not Applicable	Not Applicable
	"2019 Week 24 ending June 15, 2019"	"2019/24"	2210	Not Applicable	Not Applicable
	"2019 Week 25 ending June 22, 2019"	"2019/25"	2284	Not Applicable	Not Applicable
	"2019 Week 26 ending June 29, 2019"	"2019/26"	2314	Not Applicable	Not Applicable
	"2019 Week 27 ending July 06, 2019"	"2019/27"	2450	Not Applicable	Not Applicable
	"2019 Week 28 ending July 13, 2019"	"2019/28"	2304	Not Applicable	Not Applicable
	"2019 Week 29 ending July 20, 2019"	"2019/29"	2236	Not Applicable	Not Applicable
	"2019 Week 30 ending July 27, 2019"	"2019/30"	2373	Not Applicable	Not Applicable
	"2019 Week 31 ending August 03, 2019"	"2019/31"	2239	Not Applicable	Not Applicable
	"2019 Week 32 ending August 10, 2019"	"2019/32"	2409	Not Applicable	Not Applicable
	"2019 Week 33 ending August 17, 2019"	"2019/33"	2274	Not Applicable	Not Applicable
	"2019 Week 34 ending August 24, 2019"	"2019/34"	2292	Not Applicable	Not Applicable
	"2019 Week 35 ending August 31, 2019"	"2019/35"	2252	Not Applicable	Not Applicable
	"2019 Week 36 ending September 07, 2019"	"2019/36"	2375	Not Applicable	Not Applicable
	"2019 Week 37 ending September 14, 2019"	"2019/37"	2183	Not Applicable	Not Applicable
