"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",99964,20884564,478.7
,"2019","2019",96654,20477151,472.0
,"2020","2020",114711,20395527,562.4
,"2021","2021",129893,20906926,621.3
"Total",,,441222,82664168,533.8
