"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",3120,20879527,14.9
,"2019","2019",3164,20798268,15.2
,"2020","2020",3413,20754423,16.4
,"2021","2021",3569,21447784,16.6
"Total",,,13266,83880002,15.8
