"Notes","Year","Year Code","State","State Code",Deaths,Population,Crude Rate
,"1999","1999","Alabama","01",486,301295,161.3
,"1999","1999","Alaska","02",74,48329,153.1
,"1999","1999","Arizona","04",477,367109,129.9
,"1999","1999","Arkansas","05",261,174957,149.2
,"1999","1999","California","06",2493,2714559,91.8
,"1999","1999","Colorado","08",333,327928,101.5
,"1999","1999","Connecticut","09",235,254504,92.3
,"1999","1999","Delaware","10",54,57757,93.5
,"1999","1999","District of Columbia","11",102,49639,205.5
,"1999","1999","Florida","12",1455,1098372,132.5
,"1999","1999","Georgia","13",845,656082,128.8
,"1999","1999","Hawaii","15",94,90661,103.7
,"1999","1999","Idaho","16",87,81995,106.1
,"1999","1999","Illinois","17",1040,928426,112.0
,"1999","1999","Indiana","18",498,419558,118.7
,"1999","1999","Iowa","19",182,184427,98.7
,"1999","1999","Kansas","20",178,176480,100.9
,"1999","1999","Kentucky","21",375,286835,130.7
,"1999","1999","Louisiana","22",549,307731,178.4
,"1999","1999","Maine","23",93,85762,108.4
,"1999","1999","Maryland","24",533,416285,128.0
,"1999","1999","Massachusetts","25",431,499442,86.3
,"1999","1999","Michigan","26",826,709928,116.3
,"1999","1999","Minnesota","27",306,355280,86.1
,"1999","1999","Mississippi","28",335,186325,179.8
,"1999","1999","Missouri","29",482,378212,127.4
,"1999","1999","Montana","30",57,52056,109.5
,"1999","1999","Nebraska","31",114,111440,102.3
,"1999","1999","Nevada","32",188,158717,118.4
,"1999","1999","New Hampshire","33",76,88800,85.6
,"1999","1999","New Jersey","34",687,656599,104.6
,"1999","1999","New Mexico","35",202,120209,168.0
,"1999","1999","New York","36",1520,1468598,103.5
,"1999","1999","North Carolina","37",734,605279,121.3
,"1999","1999","North Dakota","38",40,38532,103.8
,"1999","1999","Ohio","39",851,788462,107.9
,"1999","1999","Oklahoma","40",339,222269,152.5
,"1999","1999","Oregon","41",236,234262,100.7
,"1999","1999","Pennsylvania","42",969,829015,116.9
,"1999","1999","Rhode Island","44",63,74605,84.4
,"1999","1999","South Carolina","45",406,282553,143.7
,"1999","1999","South Dakota","46",52,45933,113.2
,"1999","1999","Tennessee","47",571,412169,138.5
,"1999","1999","Texas","48",1747,1567480,111.5
,"1999","1999","Utah","49",183,148235,123.5
,"1999","1999","Vermont","50",35,39819,87.9
,"1999","1999","Virginia","51",550,544128,101.1
,"1999","1999","Washington","53",412,438866,93.9
,"1999","1999","West Virginia","54",149,113811,130.9
,"1999","1999","Wisconsin","55",325,374238,86.8
,"1999","1999","Wyoming","56",33,29400,112.2
"Total","1999","1999",,,23363,20603353,113.4
,"2000","2000","Alabama","01",467,301819,154.7
,"2000","2000","Alaska","02",57,46486,122.6
,"2000","2000","Arizona","04",503,368559,136.5
,"2000","2000","Arkansas","05",283,176171,160.6
,"2000","2000","California","06",2399,2685521,89.3
,"2000","2000","Colorado","08",303,332232,91.2
,"2000","2000","Connecticut","09",246,250173,98.3
,"2000","2000","Delaware","10",56,57621,97.2
,"2000","2000","District of Columbia","11",111,48913,226.9
,"2000","2000","Florida","12",1407,1088742,129.2
,"2000","2000","Georgia","13",840,657506,127.8
,"2000","2000","Hawaii","15",75,87159,86.0
,"2000","2000","Idaho","16",85,84305,100.8
,"2000","2000","Illinois","17",1013,919915,110.1
,"2000","2000","Indiana","18",448,422090,106.1
,"2000","2000","Iowa","19",150,185801,80.7
,"2000","2000","Kansas","20",168,175878,95.5
,"2000","2000","Kentucky","21",367,286974,127.9
,"2000","2000","Louisiana","22",500,305001,163.9
,"2000","2000","Maine","23",77,85666,89.9
,"2000","2000","Maryland","24",531,405651,130.9
,"2000","2000","Massachusetts","25",364,492764,73.9
,"2000","2000","Michigan","26",803,707542,113.5
,"2000","2000","Minnesota","27",264,353312,74.7
,"2000","2000","Mississippi","28",315,189272,166.4
,"2000","2000","Missouri","29",460,376428,122.2
,"2000","2000","Montana","30",71,52175,136.1
,"2000","2000","Nebraska","31",94,111224,84.5
,"2000","2000","Nevada","32",206,157885,130.5
