"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2018 Week 45 ending November 10, 2018","2018/45",53345,Not Applicable,Not Applicable
,"2018 Week 46 ending November 17, 2018","2018/46",54503,Not Applicable,Not Applicable
,"2018 Week 47 ending November 24, 2018","2018/47",54660,Not Applicable,Not Applicable
,"2018 Week 48 ending December 01, 2018","2018/48",54858,Not Applicable,Not Applicable
,"2018 Week 49 ending December 08, 2018","2018/49",55793,Not Applicable,Not Applicable
,"2018 Week 50 ending December 15, 2018","2018/50",56181,Not Applicable,Not Applicable
,"2018 Week 51 ending December 22, 2018","2018/51",56340,Not Applicable,Not Applicable
,"2018 Week 52 ending December 29, 2018","2018/52",55862,Not Applicable,Not Applicable
,"2018 Week Not Available","2018/99",162,Not Applicable,Not Applicable
,"2019 Week 01 ending January 05, 2019","2019/01",58113,Not Applicable,Not Applicable
,"2019 Week 02 ending January 12, 2019","2019/02",58163,Not Applicable,Not Applicable
,"2019 Week 03 ending January 19, 2019","2019/03",58045,Not Applicable,Not Applicable
,"2019 Week 04 ending January 26, 2019","2019/04",57745,Not Applicable,Not Applicable
,"2019 Week 05 ending February 02, 2019","2019/05",57979,Not Applicable,Not Applicable
,"2019 Week 06 ending February 09, 2019","2019/06",58341,Not Applicable,Not Applicable
,"2019 Week 07 ending February 16, 2019","2019/07",57819,Not Applicable,Not Applicable
,"2019 Week 08 ending February 23, 2019","2019/08",57821,Not Applicable,Not Applicable
,"2019 Week 09 ending March 02, 2019","2019/09",57776,Not Applicable,Not Applicable
,"2019 Week 10 ending March 09, 2019","2019/10",58368,Not Applicable,Not Applicable
,"2019 Week 11 ending March 16, 2019","2019/11",57727,Not Applicable,Not Applicable
,"2019 Week 12 ending March 23, 2019","2019/12",56914,Not Applicable,Not Applicable
,"2019 Week 13 ending March 30, 2019","2019/13",56472,Not Applicable,Not Applicable
,"2019 Week 14 ending April 06, 2019","2019/14",56420,Not Applicable,Not Applicable
,"2019 Week 15 ending April 13, 2019","2019/15",55285,Not Applicable,Not Applicable
,"2019 Week 16 ending April 20, 2019","2019/16",54258,Not Applicable,Not Applicable
,"2019 Week 17 ending April 27, 2019","2019/17",53467,Not Applicable,Not Applicable
,"2019 Week 18 ending May 04, 2019","2019/18",53807,Not Applicable,Not Applicable
,"2019 Week 19 ending May 11, 2019","2019/19",53263,Not Applicable,Not Applicable
,"2019 Week 20 ending May 18, 2019","2019/20",53367,Not Applicable,Not Applicable
,"2019 Week 21 ending May 25, 2019","2019/21",53503,Not Applicable,Not Applicable
,"2019 Week 22 ending June 01, 2019","2019/22",52490,Not Applicable,Not Applicable
,"2019 Week 23 ending June 08, 2019","2019/23",52942,Not Applicable,Not Applicable
,"2019 Week 24 ending June 15, 2019","2019/24",52430,Not Applicable,Not Applicable
,"2019 Week 25 ending June 22, 2019","2019/25",52062,Not Applicable,Not Applicable
,"2019 Week 26 ending June 29, 2019","2019/26",51968,Not Applicable,Not Applicable
,"2019 Week 27 ending July 06, 2019","2019/27",52126,Not Applicable,Not Applicable
,"2019 Week 28 ending July 13, 2019","2019/28",51733,Not Applicable,Not Applicable
,"2019 Week 29 ending July 20, 2019","2019/29",51444,Not Applicable,Not Applicable
,"2019 Week 30 ending July 27, 2019","2019/30",51469,Not Applicable,Not Applicable
,"2019 Week 31 ending August 03, 2019","2019/31",51182,Not Applicable,Not Applicable
,"2019 Week 32 ending August 10, 2019","2019/32",51561,Not Applicable,Not Applicable
,"2019 Week 33 ending August 17, 2019","2019/33",50841,Not Applicable,Not Applicable
,"2019 Week 34 ending August 24, 2019","2019/34",50811,Not Applicable,Not Applicable
,"2019 Week 35 ending August 31, 2019","2019/35",50962,Not Applicable,Not Applicable
,"2019 Week 36 ending September 07, 2019","2019/36",51617,Not Applicable,Not Applicable
,"2019 Week 37 ending September 14, 2019","2019/37",51425,Not Applicable,Not Applicable
,"2019 Week 38 ending September 21, 2019","2019/38",51557,Not Applicable,Not Applicable
,"2019 Week 39 ending September 28, 2019","2019/39",52563,Not Applicable,Not Applicable
,"2019 Week 40 ending October 05, 2019","2019/40",52359,Not Applicable,Not Applicable
,"2019 Week 41 ending October 12, 2019","2019/41",52887,Not Applicable,Not Applicable
,"2019 Week 42 ending October 19, 2019","2019/42",54134,Not Applicable,Not Applicable
,"2019 Week 43 ending October 26, 2019","2019/43",53824,Not Applicable,Not Applicable
,"2019 Week 44 ending November 02, 2019","2019/44",53891,Not Applicable,Not Applicable
,"2019 Week 45 ending November 09, 2019","2019/45",55519,Not Applicable,Not Applicable
,"2019 Week 46 ending November 16, 2019","2019/46",55678,Not Applicable,Not Applicable
,"2019 Week 47 ending November 23, 2019","2019/47",55996,Not Applicable,Not Applicable
,"2019 Week 48 ending November 30, 2019","2019/48",55257,Not Applicable,Not Applicable
,"2019 Week 49 ending December 07, 2019","2019/49",57101,Not Applicable,Not Applicable
,"2019 Week 50 ending December 14, 2019","2019/50",57460,Not Applicable,Not Applicable
,"2019 Week 51 ending December 21, 2019","2019/51",57247,Not Applicable,Not Applicable
,"2019 Week 52 ending December 28, 2019","2019/52",58248,Not Applicable,Not Applicable
,"2019 Week Not Available","2019/99",139,Not Applicable,Not Applicable
,"2020 Week 01 ending January 04, 2020","2020/01",59826,Not Applicable,Not Applicable
,"2020 Week 02 ending January 11, 2020","2020/02",60376,Not Applicable,Not Applicable
,"2020 Week 03 ending January 18, 2020","2020/03",58994,Not Applicable,Not Applicable
,"2020 Week 04 ending January 25, 2020","2020/04",58828,Not Applicable,Not Applicable
,"2020 Week 05 ending February 01, 2020","2020/05",58486,Not Applicable,Not Applicable
,"2020 Week 06 ending February 08, 2020","2020/06",59144,Not Applicable,Not Applicable
,"2020 Week 07 ending February 15, 2020","2020/07",58501,Not Applicable,Not Applicable
