"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"2018","2018",19774,21873579,90.4
,"2019","2019",19513,21632940,90.2
,"2020","2020",23538,21594755,109.0
,"2021","2021",24900,21523997,115.7
"Total",,,87725,86625271,101.3
