"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2002"	"2002/01"	"< 1 year"	"0"	2344	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"1 year"	"1"	146	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"2 years"	"2"	110	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"3 years"	"3"	67	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"4 years"	"4"	59	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"5 years"	"5"	50	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"6 years"	"6"	49	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"7 years"	"7"	47	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"8 years"	"8"	53	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"9 years"	"9"	56	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"10 years"	"10"	55	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"11 years"	"11"	56	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"12 years"	"12"	58	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"13 years"	"13"	82	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"14 years"	"14"	90	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"15 years"	"15"	105	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"16 years"	"16"	194	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"17 years"	"17"	223	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"18 years"	"18"	246	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"19 years"	"19"	260	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"20 years"	"20"	300	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"21 years"	"21"	326	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"22 years"	"22"	293	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"23 years"	"23"	254	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"24 years"	"24"	279	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"25 years"	"25"	262	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"26 years"	"26"	301	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"27 years"	"27"	280	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"28 years"	"28"	277	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"29 years"	"29"	345	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"30 years"	"30"	345	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"31 years"	"31"	387	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"32 years"	"32"	375	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"33 years"	"33"	377	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"34 years"	"34"	449	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"35 years"	"35"	459	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"36 years"	"36"	501	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"37 years"	"37"	596	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"38 years"	"38"	668	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"39 years"	"39"	752	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"40 years"	"40"	840	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"41 years"	"41"	834	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	"42 years"	"42"	968	Not Applicable	Not Applicable
