"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2011"	"2011/01"	"< 1 year"	"0"	1973	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"1 year"	"1"	127	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"2 years"	"2"	85	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"3 years"	"3"	73	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"4 years"	"4"	62	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"5 years"	"5"	47	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"6 years"	"6"	43	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"7 years"	"7"	25	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"8 years"	"8"	54	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"9 years"	"9"	50	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"10 years"	"10"	27	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"11 years"	"11"	27	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"12 years"	"12"	45	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"13 years"	"13"	43	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"14 years"	"14"	75	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"15 years"	"15"	99	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"16 years"	"16"	120	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"17 years"	"17"	141	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"18 years"	"18"	204	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"19 years"	"19"	236	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"20 years"	"20"	259	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"21 years"	"21"	314	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"22 years"	"22"	303	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"23 years"	"23"	311	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"24 years"	"24"	306	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"25 years"	"25"	313	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"26 years"	"26"	330	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"27 years"	"27"	324	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"28 years"	"28"	343	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"29 years"	"29"	344	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"30 years"	"30"	376	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"31 years"	"31"	388	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"32 years"	"32"	408	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"33 years"	"33"	424	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"34 years"	"34"	419	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"35 years"	"35"	417	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"36 years"	"36"	419	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"37 years"	"37"	438	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"38 years"	"38"	529	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"39 years"	"39"	524	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"40 years"	"40"	679	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"41 years"	"41"	654	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"42 years"	"42"	783	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"43 years"	"43"	817	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"44 years"	"44"	880	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"45 years"	"45"	1038	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"46 years"	"46"	1165	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"47 years"	"47"	1253	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"48 years"	"48"	1510	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"49 years"	"49"	1659	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"50 years"	"50"	1641	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"51 years"	"51"	1860	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"52 years"	"52"	1991	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"53 years"	"53"	2094	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"54 years"	"54"	2263	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"55 years"	"55"	2340	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"56 years"	"56"	2541	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"57 years"	"57"	2613	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"58 years"	"58"	2674	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"59 years"	"59"	2756	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"60 years"	"60"	2790	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"61 years"	"61"	3094	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"62 years"	"62"	3216	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"63 years"	"63"	3506	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"64 years"	"64"	3443	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"65 years"	"65"	3006	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"66 years"	"66"	3275	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"67 years"	"67"	3556	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"68 years"	"68"	3816	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"69 years"	"69"	3622	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"70 years"	"70"	3807	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"71 years"	"71"	3793	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"72 years"	"72"	4066	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"73 years"	"73"	4199	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"74 years"	"74"	4416	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"75 years"	"75"	4480	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"76 years"	"76"	4830	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"77 years"	"77"	4895	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"78 years"	"78"	5419	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"79 years"	"79"	5681	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"80 years"	"80"	6096	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"81 years"	"81"	6329	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"82 years"	"82"	6751	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"83 years"	"83"	7057	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"84 years"	"84"	7213	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"85 years"	"85"	7408	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"86 years"	"86"	7580	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"87 years"	"87"	7531	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"88 years"	"88"	7185	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"89 years"	"89"	7313	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"90 years"	"90"	6759	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"91 years"	"91"	5939	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"92 years"	"92"	5381	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"93 years"	"93"	4588	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"94 years"	"94"	3917	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"95 years"	"95"	3270	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"96 years"	"96"	2639	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"97 years"	"97"	2075	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"98 years"	"98"	1678	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"99 years"	"99"	1139	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"100+ years"	"100"	2280	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"< 1 year"	"0"	1906	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"1 year"	"1"	124	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"2 years"	"2"	90	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"3 years"	"3"	75	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"4 years"	"4"	65	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"5 years"	"5"	53	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"6 years"	"6"	34	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"7 years"	"7"	45	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"8 years"	"8"	28	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"9 years"	"9"	21	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"10 years"	"10"	37	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"11 years"	"11"	54	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"12 years"	"12"	47	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"13 years"	"13"	44	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"14 years"	"14"	76	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"15 years"	"15"	70	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"16 years"	"16"	113	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"17 years"	"17"	150	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"18 years"	"18"	201	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"19 years"	"19"	235	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"20 years"	"20"	229	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"21 years"	"21"	246	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"22 years"	"22"	276	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"23 years"	"23"	323	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"24 years"	"24"	305	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"25 years"	"25"	291	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"26 years"	"26"	316	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"27 years"	"27"	338	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"28 years"	"28"	313	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"29 years"	"29"	346	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"30 years"	"30"	353	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"31 years"	"31"	366	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"32 years"	"32"	354	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"33 years"	"33"	358	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"34 years"	"34"	367	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"35 years"	"35"	360	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"36 years"	"36"	403	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"37 years"	"37"	426	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	"38 years"	"38"	445	Not Applicable	Not Applicable
