"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"< 1 year"	"0"	2336	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"1 year"	"1"	166	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"2 years"	"2"	118	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"3 years"	"3"	99	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"4 years"	"4"	78	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"5 years"	"5"	69	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"6 years"	"6"	56	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"7 years"	"7"	54	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"8 years"	"8"	44	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"9 years"	"9"	51	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"10 years"	"10"	49	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"11 years"	"11"	60	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"12 years"	"12"	52	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"13 years"	"13"	72	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"14 years"	"14"	88	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"15 years"	"15"	122	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"16 years"	"16"	185	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"17 years"	"17"	238	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"18 years"	"18"	266	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"19 years"	"19"	264	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"20 years"	"20"	264	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"21 years"	"21"	304	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"22 years"	"22"	275	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"23 years"	"23"	288	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"24 years"	"24"	265	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"25 years"	"25"	228	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"26 years"	"26"	242	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"27 years"	"27"	288	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"28 years"	"28"	304	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"29 years"	"29"	326	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"30 years"	"30"	343	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"31 years"	"31"	324	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"32 years"	"32"	395	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"33 years"	"33"	458	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"34 years"	"34"	476	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"35 years"	"35"	513	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"36 years"	"36"	574	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"37 years"	"37"	620	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"38 years"	"38"	711	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"39 years"	"39"	737	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"40 years"	"40"	782	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"41 years"	"41"	847	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"42 years"	"42"	873	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"43 years"	"43"	1005	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"44 years"	"44"	1039	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"45 years"	"45"	1106	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"46 years"	"46"	1190	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"47 years"	"47"	1149	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"48 years"	"48"	1241	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"49 years"	"49"	1281	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"50 years"	"50"	1444	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"51 years"	"51"	1500	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"52 years"	"52"	1530	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"53 years"	"53"	1447	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"54 years"	"54"	1628	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"55 years"	"55"	1768	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"56 years"	"56"	1852	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"57 years"	"57"	1909	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"58 years"	"58"	1927	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"59 years"	"59"	2108	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"60 years"	"60"	2146	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"61 years"	"61"	2340	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"62 years"	"62"	2437	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"63 years"	"63"	2682	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"64 years"	"64"	2922	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"65 years"	"65"	2928	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"66 years"	"66"	3281	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"67 years"	"67"	3313	Not Applicable	Not Applicable
