"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"< 1 year"	"0"	2301	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"1 year"	"1"	166	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"2 years"	"2"	115	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"3 years"	"3"	97	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"4 years"	"4"	78	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"5 years"	"5"	65	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"6 years"	"6"	54	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"7 years"	"7"	53	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"8 years"	"8"	43	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"9 years"	"9"	49	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"10 years"	"10"	47	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"11 years"	"11"	59	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"12 years"	"12"	51	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"13 years"	"13"	71	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"14 years"	"14"	88	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"15 years"	"15"	121	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"16 years"	"16"	180	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"17 years"	"17"	232	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"18 years"	"18"	262	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"19 years"	"19"	262	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"20 years"	"20"	260	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"21 years"	"21"	304	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"22 years"	"22"	265	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"23 years"	"23"	283	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"24 years"	"24"	264	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"25 years"	"25"	228	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"26 years"	"26"	244	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"27 years"	"27"	282	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"28 years"	"28"	299	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"29 years"	"29"	325	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"30 years"	"30"	339	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"31 years"	"31"	324	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"32 years"	"32"	390	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"33 years"	"33"	450	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"34 years"	"34"	474	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"35 years"	"35"	505	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"36 years"	"36"	561	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"37 years"	"37"	606	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"38 years"	"38"	693	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"39 years"	"39"	730	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"40 years"	"40"	775	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"41 years"	"41"	829	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"42 years"	"42"	865	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"43 years"	"43"	991	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"44 years"	"44"	1013	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"45 years"	"45"	1083	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"46 years"	"46"	1171	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"47 years"	"47"	1127	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"48 years"	"48"	1221	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"49 years"	"49"	1263	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"50 years"	"50"	1424	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"51 years"	"51"	1466	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"52 years"	"52"	1509	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"53 years"	"53"	1415	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"54 years"	"54"	1606	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"55 years"	"55"	1734	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"56 years"	"56"	1823	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"57 years"	"57"	1872	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"58 years"	"58"	1898	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"59 years"	"59"	2070	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"60 years"	"60"	2093	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"61 years"	"61"	2311	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"62 years"	"62"	2396	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"63 years"	"63"	2640	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"64 years"	"64"	2861	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"65 years"	"65"	2875	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"66 years"	"66"	3237	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"67 years"	"67"	3259	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"68 years"	"68"	3708	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"69 years"	"69"	3986	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"70 years"	"70"	4300	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"71 years"	"71"	4686	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"72 years"	"72"	4922	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"73 years"	"73"	5309	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"74 years"	"74"	5521	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"75 years"	"75"	5896	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"76 years"	"76"	6033	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"77 years"	"77"	6478	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"78 years"	"78"	6634	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"79 years"	"79"	6495	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"80 years"	"80"	7037	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"81 years"	"81"	6698	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"82 years"	"82"	6800	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"83 years"	"83"	6985	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"84 years"	"84"	7033	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"85 years"	"85"	6841	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"86 years"	"86"	7030	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"87 years"	"87"	6515	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"88 years"	"88"	6053	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"89 years"	"89"	5768	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"90 years"	"90"	5451	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"91 years"	"91"	4935	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"92 years"	"92"	4135	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"93 years"	"93"	3750	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"94 years"	"94"	3110	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"95 years"	"95"	2637	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"96 years"	"96"	2123	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"97 years"	"97"	1513	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"98 years"	"98"	1307	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"99 years"	"99"	842	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"100+ years"	"100"	1859	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Not Stated"	"NS"	31	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"			223468	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"< 1 year"	"0"	2117	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"1 year"	"1"	156	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"2 years"	"2"	128	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"3 years"	"3"	93	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"4 years"	"4"	65	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"5 years"	"5"	74	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"6 years"	"6"	60	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"7 years"	"7"	44	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"8 years"	"8"	60	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"9 years"	"9"	52	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"10 years"	"10"	49	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"11 years"	"11"	57	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"12 years"	"12"	60	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"13 years"	"13"	63	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"14 years"	"14"	91	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"15 years"	"15"	128	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"16 years"	"16"	152	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"17 years"	"17"	186	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"18 years"	"18"	260	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"19 years"	"19"	225	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"20 years"	"20"	212	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"21 years"	"21"	233	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"22 years"	"22"	210	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"23 years"	"23"	247	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"24 years"	"24"	199	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"25 years"	"25"	210	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"26 years"	"26"	256	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"27 years"	"27"	257	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"28 years"	"28"	276	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"29 years"	"29"	278	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"30 years"	"30"	313	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"31 years"	"31"	318	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"32 years"	"32"	363	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"33 years"	"33"	399	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"34 years"	"34"	419	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"35 years"	"35"	457	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"36 years"	"36"	519	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"37 years"	"37"	583	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"38 years"	"38"	656	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"39 years"	"39"	635	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"40 years"	"40"	679	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"41 years"	"41"	787	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"42 years"	"42"	792	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"43 years"	"43"	877	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"44 years"	"44"	930	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"45 years"	"45"	982	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"46 years"	"46"	1052	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"47 years"	"47"	1022	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"48 years"	"48"	1097	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"49 years"	"49"	1153	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"50 years"	"50"	1301	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"51 years"	"51"	1316	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"52 years"	"52"	1434	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"53 years"	"53"	1228	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"54 years"	"54"	1393	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"55 years"	"55"	1624	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"56 years"	"56"	1679	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"57 years"	"57"	1551	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"58 years"	"58"	1679	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"59 years"	"59"	1761	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"60 years"	"60"	1970	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"61 years"	"61"	1987	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"62 years"	"62"	2190	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"63 years"	"63"	2315	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"64 years"	"64"	2552	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"65 years"	"65"	2674	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"66 years"	"66"	2724	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"67 years"	"67"	3123	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"68 years"	"68"	3587	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"69 years"	"69"	3652	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"70 years"	"70"	3939	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"71 years"	"71"	4282	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"72 years"	"72"	4521	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"73 years"	"73"	4905	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"74 years"	"74"	5190	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"75 years"	"75"	5357	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"76 years"	"76"	5647	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"77 years"	"77"	5951	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"78 years"	"78"	6278	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"79 years"	"79"	6002	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"80 years"	"80"	6319	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"81 years"	"81"	6296	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"82 years"	"82"	6397	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"83 years"	"83"	6437	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"84 years"	"84"	6533	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"85 years"	"85"	6424	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"86 years"	"86"	6356	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"87 years"	"87"	5809	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"88 years"	"88"	5618	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"89 years"	"89"	5238	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"90 years"	"90"	4797	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"91 years"	"91"	4530	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"92 years"	"92"	3936	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"93 years"	"93"	3406	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"94 years"	"94"	2853	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"95 years"	"95"	2359	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"96 years"	"96"	1886	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"97 years"	"97"	1407	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"98 years"	"98"	1165	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"99 years"	"99"	771	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"100+ years"	"100"	1637	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"Not Stated"	"NS"	26	Not Applicable	Not Applicable
"Total"	"Feb., 1999"	"1999/02"			204543	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"< 1 year"	"0"	2352	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"1 year"	"1"	175	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"2 years"	"2"	115	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"3 years"	"3"	85	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"4 years"	"4"	72	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"5 years"	"5"	62	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"6 years"	"6"	55	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"7 years"	"7"	51	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"8 years"	"8"	65	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"9 years"	"9"	44	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"10 years"	"10"	57	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"11 years"	"11"	61	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"12 years"	"12"	45	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"13 years"	"13"	60	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"14 years"	"14"	100	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"15 years"	"15"	117	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"16 years"	"16"	196	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"17 years"	"17"	201	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"18 years"	"18"	268	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"19 years"	"19"	278	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"20 years"	"20"	289	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"21 years"	"21"	306	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"22 years"	"22"	260	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"23 years"	"23"	253	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"24 years"	"24"	269	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"25 years"	"25"	259	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"26 years"	"26"	266	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"27 years"	"27"	288	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"28 years"	"28"	291	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"29 years"	"29"	319	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"30 years"	"30"	328	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"31 years"	"31"	327	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"32 years"	"32"	407	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"33 years"	"33"	396	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"34 years"	"34"	460	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"35 years"	"35"	503	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"36 years"	"36"	526	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"37 years"	"37"	598	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"38 years"	"38"	664	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"39 years"	"39"	706	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"40 years"	"40"	768	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"41 years"	"41"	771	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"42 years"	"42"	953	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"43 years"	"43"	987	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"44 years"	"44"	1019	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"45 years"	"45"	1098	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"46 years"	"46"	1101	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"47 years"	"47"	1193	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"48 years"	"48"	1147	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"49 years"	"49"	1246	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"50 years"	"50"	1309	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"51 years"	"51"	1531	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"52 years"	"52"	1561	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"53 years"	"53"	1311	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"54 years"	"54"	1544	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"55 years"	"55"	1680	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"56 years"	"56"	1844	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"57 years"	"57"	1789	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"58 years"	"58"	1910	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"59 years"	"59"	1965	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"60 years"	"60"	2170	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"61 years"	"61"	2227	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"62 years"	"62"	2310	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"63 years"	"63"	2610	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"64 years"	"64"	2835	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"65 years"	"65"	2804	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"66 years"	"66"	3120	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"67 years"	"67"	3280	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"68 years"	"68"	3715	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"69 years"	"69"	3999	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"70 years"	"70"	4276	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"71 years"	"71"	4709	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"72 years"	"72"	4914	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"73 years"	"73"	5235	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"74 years"	"74"	5620	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"75 years"	"75"	5822	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"76 years"	"76"	6057	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	"77 years"	"77"	6543	Not Applicable	Not Applicable
