"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	"< 1 year"	"0"	2293	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"1 year"	"1"	165	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"2 years"	"2"	115	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"3 years"	"3"	97	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"4 years"	"4"	78	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"5 years"	"5"	64	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"6 years"	"6"	55	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"7 years"	"7"	51	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"8 years"	"8"	44	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"9 years"	"9"	46	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"10 years"	"10"	48	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"11 years"	"11"	58	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"12 years"	"12"	51	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"13 years"	"13"	70	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"14 years"	"14"	85	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"15 years"	"15"	123	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"16 years"	"16"	182	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"17 years"	"17"	237	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"18 years"	"18"	260	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"19 years"	"19"	256	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"20 years"	"20"	261	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"21 years"	"21"	301	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"22 years"	"22"	269	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"23 years"	"23"	279	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"24 years"	"24"	263	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"25 years"	"25"	228	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"26 years"	"26"	238	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"27 years"	"27"	280	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"28 years"	"28"	301	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"29 years"	"29"	317	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"30 years"	"30"	336	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"31 years"	"31"	319	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"32 years"	"32"	389	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"33 years"	"33"	445	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"34 years"	"34"	467	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"35 years"	"35"	507	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"36 years"	"36"	557	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"37 years"	"37"	610	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"38 years"	"38"	699	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"39 years"	"39"	728	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"40 years"	"40"	767	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"41 years"	"41"	826	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"42 years"	"42"	864	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"43 years"	"43"	982	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"44 years"	"44"	1028	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"45 years"	"45"	1089	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"46 years"	"46"	1173	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"47 years"	"47"	1131	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"48 years"	"48"	1219	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"49 years"	"49"	1262	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"50 years"	"50"	1418	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"51 years"	"51"	1482	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"52 years"	"52"	1506	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"53 years"	"53"	1419	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"54 years"	"54"	1591	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"55 years"	"55"	1736	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"56 years"	"56"	1822	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"57 years"	"57"	1873	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"58 years"	"58"	1901	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"59 years"	"59"	2071	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"60 years"	"60"	2130	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"61 years"	"61"	2311	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"62 years"	"62"	2404	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"63 years"	"63"	2644	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"64 years"	"64"	2892	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"65 years"	"65"	2900	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"66 years"	"66"	3239	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"67 years"	"67"	3265	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"68 years"	"68"	3725	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"69 years"	"69"	3990	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"70 years"	"70"	4282	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"71 years"	"71"	4671	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"72 years"	"72"	4930	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"73 years"	"73"	5323	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"74 years"	"74"	5544	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"75 years"	"75"	5898	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"76 years"	"76"	6053	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"77 years"	"77"	6516	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"78 years"	"78"	6628	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"79 years"	"79"	6496	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"80 years"	"80"	7040	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"81 years"	"81"	6713	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"82 years"	"82"	6811	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"83 years"	"83"	6986	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"84 years"	"84"	7034	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"85 years"	"85"	6851	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"86 years"	"86"	7049	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"87 years"	"87"	6541	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"88 years"	"88"	6086	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"89 years"	"89"	5761	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"90 years"	"90"	5440	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"91 years"	"91"	4962	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"92 years"	"92"	4144	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"93 years"	"93"	3762	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"94 years"	"94"	3127	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"95 years"	"95"	2623	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"96 years"	"96"	2116	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"97 years"	"97"	1518	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"98 years"	"98"	1321	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"99 years"	"99"	843	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"100+ years"	"100"	1854	Not Applicable	Not Applicable
	"Jan., 1999"	"1999/01"	"Not Stated"	"NS"	31	Not Applicable	Not Applicable
"Total"	"Jan., 1999"	"1999/01"			223786	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"< 1 year"	"0"	2117	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"1 year"	"1"	156	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"2 years"	"2"	131	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"3 years"	"3"	91	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"4 years"	"4"	65	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"5 years"	"5"	74	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"6 years"	"6"	59	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"7 years"	"7"	45	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"8 years"	"8"	59	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"9 years"	"9"	54	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"10 years"	"10"	50	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"11 years"	"11"	57	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"12 years"	"12"	60	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"13 years"	"13"	64	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"14 years"	"14"	88	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"15 years"	"15"	125	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"16 years"	"16"	153	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"17 years"	"17"	188	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"18 years"	"18"	257	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"19 years"	"19"	225	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"20 years"	"20"	212	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"21 years"	"21"	231	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"22 years"	"22"	211	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"23 years"	"23"	246	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"24 years"	"24"	194	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"25 years"	"25"	211	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"26 years"	"26"	251	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"27 years"	"27"	257	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"28 years"	"28"	276	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"29 years"	"29"	280	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"30 years"	"30"	318	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"31 years"	"31"	317	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"32 years"	"32"	354	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"33 years"	"33"	396	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"34 years"	"34"	417	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"35 years"	"35"	458	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"36 years"	"36"	523	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	"37 years"	"37"	578	Not Applicable	Not Applicable
