"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2003"	"2003/01"	"< 1 year"	"0"	2267	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"1 year"	"1"	150	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"2 years"	"2"	86	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"3 years"	"3"	76	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"4 years"	"4"	69	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"5 years"	"5"	61	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"6 years"	"6"	50	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"7 years"	"7"	41	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"8 years"	"8"	39	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"9 years"	"9"	47	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"10 years"	"10"	57	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"11 years"	"11"	48	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"12 years"	"12"	61	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"13 years"	"13"	61	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"14 years"	"14"	77	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"15 years"	"15"	89	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"16 years"	"16"	152	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"17 years"	"17"	193	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"18 years"	"18"	259	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"19 years"	"19"	270	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"20 years"	"20"	286	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"21 years"	"21"	293	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"22 years"	"22"	305	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"23 years"	"23"	329	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"24 years"	"24"	283	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"25 years"	"25"	283	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"26 years"	"26"	288	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"27 years"	"27"	275	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"28 years"	"28"	261	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"29 years"	"29"	292	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"30 years"	"30"	308	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"31 years"	"31"	356	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"32 years"	"32"	379	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"33 years"	"33"	427	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"34 years"	"34"	404	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"35 years"	"35"	428	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"36 years"	"36"	529	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"37 years"	"37"	516	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"38 years"	"38"	665	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"39 years"	"39"	705	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"40 years"	"40"	785	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"41 years"	"41"	873	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"42 years"	"42"	918	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"43 years"	"43"	1027	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	"44 years"	"44"	1056	Not Applicable	Not Applicable
