"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"< 1 year"	"0"	279	36901	756.1
	"2018"	"2018"	"1 year"	"1"	24	37516	64.0
	"2018"	"2018"	"2 years"	"2"	19	38615	Unreliable
	"2018"	"2018"	"3 years"	"3"	14	38888	Unreliable
	"2018"	"2018"	"4 years"	"4"	Suppressed	38423	Suppressed
	"2018"	"2018"	"5 years"	"5"	Suppressed	37981	Suppressed
	"2018"	"2018"	"6 years"	"6"	Suppressed	38726	Suppressed
	"2018"	"2018"	"7 years"	"7"	Suppressed	38664	Suppressed
	"2018"	"2018"	"8 years"	"8"	Suppressed	38947	Suppressed
	"2018"	"2018"	"9 years"	"9"	Suppressed	38966	Suppressed
	"2018"	"2018"	"10 years"	"10"	Suppressed	40392	Suppressed
	"2018"	"2018"	"11 years"	"11"	10	40924	Unreliable
	"2018"	"2018"	"12 years"	"12"	Suppressed	40035	Suppressed
	"2018"	"2018"	"13 years"	"13"	10	39920	Unreliable
	"2018"	"2018"	"14 years"	"14"	12	39515	Unreliable
	"2018"	"2018"	"15 years"	"15"	13	39439	Unreliable
	"2018"	"2018"	"16 years"	"16"	19	39207	Unreliable
	"2018"	"2018"	"17 years"	"17"	26	40121	64.8
	"2018"	"2018"	"18 years"	"18"	37	39598	93.4
	"2018"	"2018"	"19 years"	"19"	42	39342	106.8
	"2018"	"2018"	"20 years"	"20"	40	40449	98.9
	"2018"	"2018"	"21 years"	"21"	54	40382	133.7
	"2018"	"2018"	"22 years"	"22"	44	40507	108.6
	"2018"	"2018"	"23 years"	"23"	42	39931	105.2
	"2018"	"2018"	"24 years"	"24"	48	40369	118.9
	"2018"	"2018"	"25 years"	"25"	54	40330	133.9
	"2018"	"2018"	"26 years"	"26"	61	41335	147.6
	"2018"	"2018"	"27 years"	"27"	51	42670	119.5
	"2018"	"2018"	"28 years"	"28"	51	42388	120.3
	"2018"	"2018"	"29 years"	"29"	59	39774	148.3
	"2018"	"2018"	"30 years"	"30"	59	38672	152.6
	"2018"	"2018"	"31 years"	"31"	63	37705	167.1
	"2018"	"2018"	"32 years"	"32"	67	37775	177.4
	"2018"	"2018"	"33 years"	"33"	79	38048	207.6
	"2018"	"2018"	"34 years"	"34"	76	37891	200.6
	"2018"	"2018"	"35 years"	"35"	90	38293	235.0
	"2018"	"2018"	"36 years"	"36"	71	38397	184.9
	"2018"	"2018"	"37 years"	"37"	82	38707	211.8
	"2018"	"2018"	"38 years"	"38"	114	39612	287.8
	"2018"	"2018"	"39 years"	"39"	110	36664	300.0
	"2018"	"2018"	"40 years"	"40"	95	36213	262.3
	"2018"	"2018"	"41 years"	"41"	97	35645	272.1
	"2018"	"2018"	"42 years"	"42"	113	34428	328.2
	"2018"	"2018"	"43 years"	"43"	91	35977	252.9
	"2018"	"2018"	"44 years"	"44"	120	34582	347.0
	"2018"	"2018"	"45 years"	"45"	146	35117	415.8
	"2018"	"2018"	"46 years"	"46"	149	36694	406.1
	"2018"	"2018"	"47 years"	"47"	174	38170	455.9
	"2018"	"2018"	"48 years"	"48"	164	38368	427.4
	"2018"	"2018"	"49 years"	"49"	178	35823	496.9
	"2018"	"2018"	"50 years"	"50"	187	34836	536.8
	"2018"	"2018"	"51 years"	"51"	207	34944	592.4
	"2018"	"2018"	"52 years"	"52"	224	35570	629.7
	"2018"	"2018"	"53 years"	"53"	313	39145	799.6
	"2018"	"2018"	"54 years"	"54"	317	40000	792.5
	"2018"	"2018"	"55 years"	"55"	311	39862	780.2
	"2018"	"2018"	"56 years"	"56"	374	39613	944.1
	"2018"	"2018"	"57 years"	"57"	418	39759	1051.3
	"2018"	"2018"	"58 years"	"58"	396	40072	988.2
	"2018"	"2018"	"59 years"	"59"	454	38857	1168.4
	"2018"	"2018"	"60 years"	"60"	480	38367	1251.1
	"2018"	"2018"	"61 years"	"61"	500	38132	1311.2
	"2018"	"2018"	"62 years"	"62"	553	37130	1489.4
	"2018"	"2018"	"63 years"	"63"	576	36809	1564.8
	"2018"	"2018"	"64 years"	"64"	593	35866	1653.4
	"2018"	"2018"	"65 years"	"65"	602	34530	1743.4
	"2018"	"2018"	"66 years"	"66"	591	33190	1780.7
	"2018"	"2018"	"67 years"	"67"	564	32287	1746.8
	"2018"	"2018"	"68 years"	"68"	633	31470	2011.4
	"2018"	"2018"	"69 years"	"69"	721	31084	2319.5
	"2018"	"2018"	"70 years"	"70"	726	30749	2361.1
	"2018"	"2018"	"71 years"	"71"	812	32307	2513.4
	"2018"	"2018"	"72 years"	"72"	670	23575	2842.0
	"2018"	"2018"	"73 years"	"73"	697	23764	2933.0
	"2018"	"2018"	"74 years"	"74"	750	23055	3253.1
	"2018"	"2018"	"75 years"	"75"	883	23060	3829.1
	"2018"	"2018"	"76 years"	"76"	793	20203	3925.2
	"2018"	"2018"	"77 years"	"77"	820	18603	4407.9
	"2018"	"2018"	"78 years"	"78"	796	17535	4539.5
	"2018"	"2018"	"79 years"	"79"	747	15833	4718.0
	"2018"	"2018"	"80 years"	"80"	828	14705	5630.7
	"2018"	"2018"	"81 years"	"81"	834	13126	6353.8
	"2018"	"2018"	"82 years"	"82"	852	12189	6989.9
	"2018"	"2018"	"83 years"	"83"	912	11603	7860.0
	"2018"	"2018"	"84 years"	"84"	797	9942	8016.5
	"2018"	"2018"	"85 years"	"85"	837	Not Applicable	Not Applicable
	"2018"	"2018"	"86 years"	"86"	738	Not Applicable	Not Applicable
	"2018"	"2018"	"87 years"	"87"	764	Not Applicable	Not Applicable
	"2018"	"2018"	"88 years"	"88"	780	Not Applicable	Not Applicable
	"2018"	"2018"	"89 years"	"89"	725	Not Applicable	Not Applicable
	"2018"	"2018"	"90 years"	"90"	677	Not Applicable	Not Applicable
	"2018"	"2018"	"91 years"	"91"	675	Not Applicable	Not Applicable
	"2018"	"2018"	"92 years"	"92"	598	Not Applicable	Not Applicable
	"2018"	"2018"	"93 years"	"93"	501	Not Applicable	Not Applicable
